m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:1uM_M0:0.3uM_L0:1000 X	m0:1uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:2uM_M0:0.3uM_L0:1000 X	m0:2uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:3uM_M0:0.3uM_L0:1000 X	m0:3uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:5uM_M0:0.3uM_L0:1000 X	m0:5uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:10uM_M0:0.3uM_L0:1000 X	m0:10uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:20uM_M0:0.3uM_L0:1000 X	m0:20uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:30uM_M0:0.3uM_L0:1000 X	m0:30uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y	m0:50uM_M0:0.3uM_L0:1000 X	m0:50uM_M0:0.3uM_L0:1000 Y
4.4444447	0.28429347	4.4444447	0.30407128	4.4444447	0.3059681	4.4444447	0.31354952	4.4444447	0.23966143	4.4444447	0.20933516	4.4444447	0.3192603	4.4444447	0.29706123	4.4444447	0.26371858	4.4444447	0.20571579	4.4444447	0.26266736	4.4444447	0.20651212	4.4444447	0.14412569	4.4444447	0.1546831	4.4444447	0.111573994	4.4444447	0.087311976	4.4444447	0.09098853	4.4444447	0.11306921	4.4444447	0.07173944	4.4444447	0.040635362	4.4444447	0.0532548	4.4444447	0.014926831	4.4444447	0.03414848	4.4444447	0.035470735
4.6666665	0.28429347	4.6666665	0.31330112	4.6666665	0.31612855	4.6666665	0.32155508	4.6666665	0.24890289	4.6666665	0.21230854	4.6666665	0.34643108	4.6666665	0.3116202	4.6666665	0.27688077	4.6666665	0.21121864	4.6666665	0.28655797	4.6666665	0.21635112	4.6666665	0.16380732	4.6666665	0.17540114	4.6666665	0.12836899	4.6666665	0.09896255	4.6666665	0.1044957	4.6666665	0.13358109	4.6666665	0.07923137	4.6666665	0.044694766	4.6666665	0.05941407	4.6666665	0.017642634	4.6666665	0.038252607	4.6666665	0.041528575
4.888889	0.28914168	4.888889	0.32501236	4.888889	0.3156868	4.888889	0.3404161	4.888889	0.26659548	4.888889	0.21751204	4.888889	0.36756837	4.888889	0.33171317	4.888889	0.28661123	4.888889	0.22822352	4.888889	0.30187976	4.888889	0.23055606	4.888889	0.19115967	4.888889	0.20437844	4.888889	0.1473453	4.888889	0.113938585	4.888889	0.113726	4.888889	0.14720446	4.888889	0.08956715	4.888889	0.051968694	4.888889	0.06814312	4.888889	0.02012049	4.888889	0.04462253	4.888889	0.04834197
5.111111	0.3056261	5.111111	0.33314255	5.111111	0.32142988	5.111111	0.35394216	5.111111	0.28191343	5.111111	0.22680436	5.111111	0.38194183	5.111111	0.35397336	5.111111	0.29934916	5.111111	0.24356407	5.111111	0.32260463	5.111111	0.24842122	5.111111	0.20760864	5.111111	0.2302898	5.111111	0.1719291	5.111111	0.12481424	5.111111	0.1291687	5.111111	0.16692767	5.111111	0.0962309	5.111111	0.059470292	5.111111	0.07964994	5.111111	0.023740426	5.111111	0.052136503	5.111111	0.056735076
5.3333335	0.29641408	5.3333335	0.33562315	5.3333335	0.32408053	5.3333335	0.36569056	5.3333335	0.27874407	5.3333335	0.22940628	5.3333335	0.40546772	5.3333335	0.35761693	5.3333335	0.30407295	5.3333335	0.25654966	5.3333335	0.32976988	5.3333335	0.26020074	5.3333335	0.23788974	5.3333335	0.26121312	5.3333335	0.19377139	5.3333335	0.14267501	5.3333335	0.14683767	5.3333335	0.18745881	5.3333335	0.11013207	5.3333335	0.06696655	5.3333335	0.093111604	5.3333335	0.026603112	5.3333335	0.059030388	5.3333335	0.06574054
5.5555553	0.30756557	5.5555553	0.3449951	5.5555553	0.32187167	5.5555553	0.36729276	5.5555553	0.2903655	5.5555553	0.24130125	5.5555553	0.41009298	5.5555553	0.38569546	5.5555553	0.3171012	5.5555553	0.27475724	5.5555553	0.33837107	5.5555553	0.2713745	5.5555553	0.2693175	5.5555553	0.28358045	5.5555553	0.21637245	5.5555553	0.1631487	5.5555553	0.16104917	5.5555553	0.2129314	5.5555553	0.12367475	5.5555553	0.07540011	5.5555553	0.107130095	5.5555553	0.029889377	5.5555553	0.06801711	5.5555553	0.07693715
5.7777777	0.30756557	5.7777777	0.36126143	5.7777777	0.33600903	5.7777777	0.386166	5.7777777	0.30647874	5.7777777	0.24873601	5.7777777	0.451858	5.7777777	0.39163733	5.7777777	0.33170792	5.7777777	0.28824705	5.7777777	0.35322008	5.7777777	0.28570247	5.7777777	0.29254755	5.7777777	0.3217092	5.7777777	0.2522935	5.7777777	0.18348816	5.7777777	0.18207279	5.7777777	0.2383033	5.7777777	0.13744693	5.7777777	0.08590774	5.7777777	0.122270875	5.7777777	0.035167098	5.7777777	0.07725658	5.7777777	0.09116046
6	0.31483853	6	0.36774155	6	0.33821812	6	0.40575698	6	0.31889528	6	0.25579926	6	0.465863	6	0.41122425	6	0.3468916	6	0.30095416	6	0.38988018	6	0.29932466	6	0.32484877	6	0.34338498	6	0.27859503	6	0.2037383	6	0.20115364	6	0.27547604	6	0.15081438	6	0.10128719	6	0.14159924	6	0.039428897	6	0.08863942	6	0.104857475
6.2222223	0.32065699	6.2222223	0.37835932	6.2222223	0.34440356	6.2222223	0.41003212	6.2222223	0.334748	6.2222223	0.26658058	6.2222223	0.4816278	6.2222223	0.43203655	6.2222223	0.36050332	6.2222223	0.3187921	6.2222223	0.39774442	6.2222223	0.30837533	6.2222223	0.36142865	6.2222223	0.36921573	6.2222223	0.3028816	6.2222223	0.23244146	6.2222223	0.22742428	6.2222223	0.29581687	6.2222223	0.17053589	6.2222223	0.11311869	6.2222223	0.15988946	6.2222223	0.044615332	6.2222223	0.10133766	6.2222223	0.12162523
6.4444447	0.33374915	6.4444447	0.38856512	6.4444447	0.35103104	6.4444447	0.4205431	6.4444447	0.3474316	6.4444447	0.26546523	6.4444447	0.51287836	6.4444447	0.44731444	6.4444447	0.37139526	6.4444447	0.32687673	6.4444447	0.42491305	6.4444447	0.3350336	6.4444447	0.37888998	6.4444447	0.39284384	6.4444447	0.3309196	6.4444447	0.25361362	6.4444447	0.24683265	6.4444447	0.32990187	6.4444447	0.18971528	6.4444447	0.13015236	6.4444447	0.18310146	6.4444447	0.050986517	6.4444447	0.113457724	6.4444447	0.13886087
