m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2.5uM_M0:0_L0:10000 X	m0:2.5uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y	m0:1.75uM_M0:0_L0:10000 X	m0:1.75uM_M0:0_L0:10000 Y	m0:1.5uM_M0:0_L0:10000 X	m0:1.5uM_M0:0_L0:10000 Y	m0:1.35uM_M0:0_L0:10000 X	m0:1.35uM_M0:0_L0:10000 Y	m0:1.2uM_M0:0_L0:10000 X	m0:1.2uM_M0:0_L0:10000 Y
0.8575	0.590079992	0.8575	0.245286267	0.8575	0.148722086	0.8575	0.051211741	0.8575	0.015901776	0.8575	-0.000481933	0.8575	0.000183406	0.8575	-0.00641045	0.8575	-0.00928131	0.95278	-0.011897288
0.95278	0.618397498	0.95278	0.312293835	0.95278	0.149959897	0.95278	0.066046906	0.95278	0.022371792	0.95278	-0.013377424	0.95278	-0.004971538	0.95278	-0.01004514	0.95278	-0.02105014	0.95278	-0.010605649
0.95278	0.65814238	0.95278	0.338875747	0.95278	0.145842942	0.95278	0.071126396	0.95278	0.028222986	0.95278	-0.007385914	0.95278	-0.003238327	0.95278	-0.007430698	0.95278	-0.014029887	1.0481	-0.019257329
0.95278	0.711876278	0.95278	0.363371452	0.95278	0.202210006	0.95278	0.073938212	0.95278	0.02777673	0.95278	-0.005311022	0.95278	-0.002567685	0.95278	-0.005766922	0.95278	-0.018857843	1.0481	-0.014208758
0.95278	0.702753722	0.95278	0.384149409	0.95278	0.234918484	0.95278	0.101953649	0.95278	0.032876386	0.95278	-0.000818166	0.95278	-0.002396031	0.95278	-0.001952054	0.95278	-0.009427184	1.0481	-0.011335396
1.0481	0.705675881	1.0481	0.44555222	1.0481	0.231073761	1.0481	0.117592105	1.0481	0.045173812	1.0481	-0.003059879	1.0481	-0.00521089	1.0481	-0.009480101	1.0481	-0.017771191	1.0481	-0.007224979
1.0481	0.742074822	1.0481	0.479137425	1.0481	0.22751049	1.0481	0.12355548	1.0481	0.052110843	1.0481	0.000901849	1.0481	-0.004356421	1.0481	-0.007370579	1.0481	-0.021937915	1.1433	-0.017871909
1.0481	0.810652137	1.0481	0.511277864	1.0481	0.290712546	1.0481	0.12553066	1.0481	0.052997974	1.0481	0.003496817	1.0481	-0.003063485	1.0481	-0.003639015	1.0481	-0.012013911	1.1433	-0.01668687
1.0481	0.765898204	1.0481	0.556346327	1.0481	0.327051588	1.0481	0.162348479	1.0481	0.055460877	1.0481	0.00312841	1.0481	0.006694839	1.0481	-0.000579105	1.0481	-0.014771977	1.1433	-0.00932352
1.1433	0.771201283	1.1433	0.56975617	1.1433	0.337671522	1.1433	0.16858608	1.1433	0.080186774	1.1433	0.001846479	1.1433	-0.000163366	1.1433	-0.00899379	1.1433	-0.017043658	1.1433	-0.007248131
1.1433	0.810527919	1.1433	0.614295109	1.1433	0.320951963	1.1433	0.183809785	1.1433	0.081962575	1.1433	0.004108422	1.1433	0.002331136	1.1433	-0.002825196	1.1433	-0.013750654	1.2386	-0.016856823
1.1433	0.856898603	1.1433	0.657929107	1.1433	0.408256827	1.1433	0.187676258	1.1433	0.086858006	1.1433	0.010389581	1.1433	0.00324369	1.1433	0.00177351	1.1433	-0.009428922	1.2386	-0.01449495
1.1433	0.81613535	1.1433	0.688092527	1.1433	0.43018282	1.1433	0.239529142	1.1433	0.097055668	1.1433	0.011567843	1.1433	0.014801948	1.1433	0.002626838	1.1433	-0.006403384	1.2386	-0.008648989
1.2386	0.80298292	1.2386	0.685444239	1.2386	0.419642958	1.2386	0.256254921	1.2386	0.127225084	1.2386	0.011711949	1.2386	0.007483808	1.2386	-0.004484871	1.2386	-0.01546288	1.2386	-0.005821755
1.2386	0.841658599	1.2386	0.698543726	1.2386	0.457307557	1.2386	0.266427769	1.2386	0.12685807	1.2386	0.02327849	1.2386	0.015192577	1.2386	0.004313799	1.2386	-0.013310406	1.3339	-0.018146363
1.2386	0.892973936	1.2386	0.755900143	1.2386	0.520646002	1.2386	0.263232228	1.2386	0.128590003	1.2386	0.020928823	1.2386	0.01584648	1.2386	0.008601151	1.2386	-0.009706344	1.3339	-0.010879763
1.2386	0.845701881	1.2386	0.78951724	1.2386	0.550553331	1.2386	0.317905743	1.2386	0.138729288	1.2386	0.024750739	1.2386	0.017553039	1.2386	0.012390438	1.2386	-0.006285948	1.3339	-0.003584773
1.3339	0.843703142	1.3339	0.757947033	1.3339	0.532770135	1.3339	0.350692309	1.3339	0.172838225	1.3339	0.027486151	1.3339	0.0179781	1.3339	0.000625237	1.3339	-0.017076825	1.3339	-0.000329771
1.3339	0.865270741	1.3339	0.781221883	1.3339	0.565762285	1.3339	0.341965593	1.3339	0.181011299	1.3339	0.031915427	1.3339	0.023972252	1.3339	0.003641363	1.3339	-0.011679178	1.4292	-0.012065142
1.3339	0.924543072	1.3339	0.821033242	1.3339	0.640787511	1.3339	0.352914787	1.3339	0.176392979	1.3339	0.033102947	1.3339	0.028371189	1.3339	0.00979642	1.3339	-0.005468059	1.4292	-0.006264564
1.3339	0.866160126	1.3339	0.841851597	1.3339	0.653760675	1.3339	0.414093266	1.3339	0.190988199	1.3339	0.044461132	1.3339	0.031326795	1.3339	0.014984346	1.3339	-0.005187825	1.4292	-0.007048321
1.4292	0.859763527	1.4292	0.827285824	1.4292	0.617137436	1.4292	0.430205567	1.4292	0.233039504	1.4292	0.049960433	1.4292	0.031671298	1.4292	0.012179733	1.4292	-0.013094561	1.4292	-0.005276333
1.4292	0.874460066	1.4292	0.829709825	1.4292	0.661810898	1.4292	0.450732597	1.4292	0.232400211	1.4292	0.047747883	1.4292	0.038009769	1.4292	0.015835322	1.4292	-0.014046579	1.5244	-0.011712012
1.4292	0.92729829	1.4292	0.862352051	1.4292	0.726771527	1.4292	0.463699125	1.4292	0.248244067	1.4292	0.050612344	1.4292	0.03705863	1.4292	0.019315697	1.4292	-0.008486029	1.5244	-0.009732571
1.4292	0.885226173	1.4292	0.880713416	1.4292	0.732954805	1.4292	0.511989271	1.4292	0.251305281	1.4292	0.058807047	1.4292	0.042258915	1.4292	0.026144185	1.4292	0.00020119	1.5244	-0.007929912
1.5244	0.876453731	1.5244	0.873163868	1.5244	0.728543151	1.5244	0.527624456	1.5244	0.300919729	1.5244	0.068590611	1.5244	0.050697844	1.5244	0.022664348	1.5244	-0.005611955	1.5244	-0.000254823
1.5244	0.893428404	1.5244	0.858436149	1.5244	0.694830347	1.5244	0.552850873	1.5244	0.303563344	1.5244	0.073120549	1.5244	0.051369028	1.5244	0.026175776	1.5244	-0.005552587	1.6197	-0.011409376
1.5244	0.944035596	1.5244	0.897666403	1.5244	0.801186068	1.5244	0.557826351	1.5244	0.318185848	1.5244	0.080662154	1.5244	0.05819802	1.5244	0.034287851	1.5244	0.003708928	1.6197	-0.009713737
1.5244	0.896363765	1.5244	0.889187543	1.5244	0.799552464	1.5244	0.601641851	1.5244	0.321444749	1.5244	0.072826482	1.5244	0.055420998	1.5244	0.037510769	1.5244	0.002716064	1.6197	0.000869396
1.6197	0.883333293	1.6197	0.90985284	1.6197	0.754037444	1.6197	0.598730454	1.6197	0.371472497	1.6197	0.098258316	1.6197	0.062075326	1.6197	0.026837084	1.6197	-0.003525459	1.6197	0.002649614
1.6197	0.901462921	1.6197	0.92175208	1.6197	0.800964832	1.6197	0.624371724	1.6197	0.379412215	1.6197	0.09664996	1.6197	0.07249489	1.6197	0.035597466	1.6197	0.001047658	1.715	-0.004037931
1.6197	0.960051911	1.6197	0.891546674	1.6197	0.854429259	1.6197	0.637497084	1.6197	0.400835361	1.6197	0.092890425	1.6197	0.070147426	1.6197	0.039860464	1.6197	0.001063432	1.715	-0.004190893
1.6197	0.904457396	1.6197	0.914179599	1.6197	0.846170825	1.6197	0.681299813	1.6197	0.406222434	1.6197	0.096738208	1.6197	0.073187865	1.6197	0.047317718	1.6197	0.00785188	1.715	-0.002632933
1.715	0.889510364	1.715	0.926951921	1.715	0.85066831	1.715	0.671101103	1.715	0.451260086	1.715	0.132441944	1.715	0.092955123	1.715	0.041325742	1.715	-0.002949874	1.715	-0.000104927
1.715	0.967030081	1.715	0.935525017	1.715	0.819693953	1.715	0.703865482	1.715	0.45079416	1.715	0.122451025	1.715	0.098332606	1.715	0.045830953	1.715	0.005657353	1.8103	-0.002178979
1.715	0.933207861	1.715	0.911046548	1.715	0.897952518	1.715	0.709152689	1.715	0.476490696	1.715	0.129306252	1.715	0.091862154	1.715	0.05522009	1.715	0.008823614	1.8103	-0.001118945
1.715	0.899903254	1.715	0.926923892	1.715	0.885596639	1.715	0.746008559	1.715	0.489712719	1.715	0.130010913	1.715	0.099600283	1.715	0.055525097	1.715	0.012882607	1.8103	0.002909381
1.8103	0.897673788	1.8103	0.947771396	1.8103	0.890375779	1.8103	0.759674307	1.8103	0.523633791	1.8103	0.152279656	1.8103	0.110518672	1.8103	0.05473226	1.8103	0.005324162	1.8103	0.005591114
1.8103	0.931119378	1.8103	0.927155606	1.8103	0.851753527	1.8103	0.730866041	1.8103	0.518608994	1.8103	0.150358234	1.8103	0.117133257	1.8103	0.059705803	1.8103	0.019591204	1.9056	-0.011659727
1.8103	0.978746195	1.8103	0.956673354	1.8103	0.906222885	1.8103	0.763444076	1.8103	0.541802528	1.8103	0.165180691	1.8103	0.129912037	1.8103	0.061429458	1.8103	0.01952979	1.9056	0.002587537
1.8103	0.914391562	1.8103	0.935486826	1.8103	0.941751241	1.8103	0.805378301	1.8103	0.566766003	1.8103	0.166678792	1.8103	0.12651782	1.8103	0.073860038	1.8103	0.028566637	1.9056	0.004242052
1.9056	0.917391968	1.9056	0.940926063	1.9056	0.925302547	1.9056	0.773578594	1.9056	0.577507744	1.9056	0.191394692	1.9056	0.137935166	1.9056	0.069521514	1.9056	0.01889975	1.9056	0.02239184
1.9056	0.933281572	1.9056	0.958356334	1.9056	0.886437863	1.9056	0.818706134	1.9056	0.607065105	1.9056	0.194777104	1.9056	0.135641371	1.9056	0.079168262	1.9056	0.017555346	2.0008	0.00066488
1.9056	0.982273905	1.9056	0.976606362	1.9056	0.955524424	1.9056	0.818150853	1.9056	0.588310194	1.9056	0.195150058	1.9056	0.149875122	1.9056	0.089083559	1.9056	0.028077233	2.0008	0.002593198
1.9056	0.918945704	1.9056	0.952205678	1.9056	0.930616656	1.9056	0.859152764	1.9056	0.612587913	1.9056	0.20077604	1.9056	0.159596702	1.9056	0.092499985	1.9056	0.026212169	2.0008	0.004932966
2.0008	0.921340449	2.0008	0.942750202	2.0008	0.939289059	2.0008	0.819065219	2.0008	0.669766434	2.0008	0.227259482	2.0008	0.152124829	2.0008	0.097437861	2.0008	0.010216636	2.0008	0.020053945
2.0008	0.98350989	2.0008	0.979523782	2.0008	0.964772133	2.0008	0.866415046	2.0008	0.652845233	2.0008	0.241783171	2.0008	0.174746919	2.0008	0.09687562	2.0008	0.025772386	2.0961	-0.005659589
2.0008	0.942004059	2.0008	0.957543297	2.0008	0.920147287	2.0008	0.873760283	2.0008	0.655794914	2.0008	0.233178015	2.0008	0.177493918	2.0008	0.10655535	2.0008	0.028467996	2.0961	0.008034985
2.0008	0.920314307	2.0008	0.977845247	2.0008	0.943707853	2.0008	0.854455881	2.0008	0.67147455	2.0008	0.237201407	2.0008	0.191405801	2.0008	0.111676778	2.0008	0.036846492	2.0961	0.017507832
2.0961	0.926427448	2.0961	0.963005137	2.0961	0.958846468	2.0961	0.846846737	2.0961	0.708529942	2.0961	0.27113781	2.0961	0.19712308	2.0961	0.106133933	2.0961	0.031010676	2.0961	0.031483654
2.0961	0.952274481	2.0961	0.990277528	2.0961	0.962843887	2.0961	0.901309551	2.0961	0.695502905	2.0961	0.287417568	2.0961	0.202954742	2.0961	0.122613494	2.0961	0.021800286	2.1914	0.001800041
2.0961	0.999500456	2.0961	0.982759549	2.0961	0.930908805	2.0961	0.876762289	2.0961	0.707770852	2.0961	0.27486347	2.0961	0.217932523	2.0961	0.135148667	2.0961	0.05362163	2.1914	0.019913446
2.0961	0.934307086	2.0961	0.961203103	2.0961	0.954020976	2.0961	0.896609487	2.0961	0.707187984	2.0961	0.289729599	2.0961	0.225071609	2.0961	0.135655715	2.0961	0.04431926	2.1914	0.022829134
