Kakkar2016_Fig1_10uM.txt: 10 uM X	Kakkar2016_Fig1_10uM.txt: 10 uM Y	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM X	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM Y	Kakkar2016_Fig1_16uM.txt: 16 uM X	Kakkar2016_Fig1_16uM.txt: 16 uM Y	Kakkar2016_Fig1_20uM.txt: 20 uM X	Kakkar2016_Fig1_20uM.txt: 20 uM Y
24969.69697	0.247148288636	19151.51515	0.278195488224	18181.81818	0.477777777677	11636.36363	0.340823972965
25454.54545	0.262357414535	19878.78788	0.300751879822	18181.81818	0.496296296698	11636.36363	0.359550560201
25939.39394	0.281368820877	20363.63636	0.312030075621	18909.09091	0.522222222323	12121.21213	0.37453183608
26666.66667	0.300380228251	21090.90909	0.353383458179	19393.93939	0.537037036535	12363.63635	0.389513111959
27151.51515	0.311787072674	21333.33333	0.364661653978	19878.78788	0.570370370772	13090.9091	0.415730332061
28121.21212	0.34980988639	22060.60606	0.383458646977	20606.06061	0.592592592593	13333.33332	0.441947562312
28363.63636	0.353612166834	22545.45455	0.402255638956	21818.18182	0.614814814413	14060.60608	0.47191011407
29333.33333	0.380228137156	22545.45455	0.417293233355	21818.18182	0.633333333434	14303.03029	0.494382022814
29333.33333	0.39163498055	23515.15152	0.447368421133	22303.0303	0.65185185145	14303.03029	0.509363298693
30060.60606	0.414448669397	24242.42424	0.477443608911	22787.87879	0.681481481883	14787.8788	0.524344564423
30303.0303	0.422053232347	24727.27273	0.484962406111	23515.15152	0.696296296096	15030.30305	0.550561794674
31030.30303	0.444866920164	25212.12121	0.49624060191	24484.84848	0.71851851892	15515.15152	0.56928839206
31272.72727	0.460076046062	25939.39394	0.522556391089	24969.69697	0.737037036937	15757.57577	0.588014979297
31515.15152	0.47528517093	26424.24242	0.541353383068	25696.9697	0.755555555957	16727.27274	0.621722842412
32484.84848	0.490494296829	26424.24242	0.545112781668	26909.09091	0.781481481582	16727.27274	0.629213485427
