Kakkar2016_Fig1_10uM.txt: 10 uM X	Kakkar2016_Fig1_10uM.txt: 10 uM Y	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM X	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM Y	Kakkar2016_Fig1_16uM.txt: 16 uM X	Kakkar2016_Fig1_16uM.txt: 16 uM Y	Kakkar2016_Fig1_20uM.txt: 20 uM X	Kakkar2016_Fig1_20uM.txt: 20 uM Y
27151.51515	0.127552964576	21333.33333	0.0790485338225	19878.78788	-0.0393593804663	13090.9091	0.0072820937989
28121.21212	0.108909810086	22060.60606	0.0788215030156	20606.06061	-0.0408901470081	13333.33332	-0.00898248520919
28363.63636	0.109890989123	22545.45455	0.0721978216217	21818.18182	-0.0301702480773	14060.60608	-0.00965187678082
29333.33333	0.102151267314	22545.45455	0.0571602272227	21818.18182	-0.0486887670983	14303.03029	-0.0225597772545
29333.33333	0.0907444239202	23515.15152	0.0509083838907	22303.0303	-0.0545761514094	14303.03029	-0.0375410531335
30060.60606	0.0818079797281	24242.42424	0.0382233452656	22787.87879	-0.0718869958043	14787.8788	-0.0337134029658
30303.0303	0.0787742424807	24727.27273	0.0420631468707	23515.15152	-0.0688071738366	15030.30305	-0.0506908901476
31030.30303	0.0695046842352	25212.12121	0.0419520137794	24484.84848	-0.0682488394549	15515.15152	-0.0512783266841
31272.72727	0.0587534012034	25939.39394	0.0320223816607	24969.69697	-0.0758331317683	15757.57577	-0.0611090998621
31515.15152	0.0479733468033	26424.24242	0.0239038649521	25696.9697	-0.078510222557	16727.27274	-0.0604236116655
32484.84848	0.0501893295668	26424.24242	0.0201444663521	26909.09091	-0.0794907107619	16727.27274	-0.0679142546805
33696.9697	0.0408870536286	26909.09091	0.019346746257	27151.51515	-0.0895295862196	17212.12121	-0.0739158740916
34181.81818	0.0301124254472	27393.93939	0.0221096474367	27878.78788	-0.101542322671	17212.12121	-0.100133104343
35151.51515	0.0234103205608	27636.36364	0.0196570288265	29575.75758	-0.0899263002634	17939.39393	-0.0875815861569
35393.93939	0.00454894015276	28121.21212	0.0221212000508	30060.60606	-0.093000709906	18909.0909	-0.0763032053116
36121.21212	-0.00658936136976	28121.21212	0.0108430042518	31757.57576	-0.0889767061311	19393.9394	-0.0919899559072
37333.33333	-0.0105480506549	28363.63636	0.0120004432606	33212.12121	-0.0982957108167	20121.21212	-0.0939411251466
38060.60606	-0.0186070425999	28848.48485	0.0104069100858	34181.81818	-0.0932011884963	20363.63638	-0.106062032673
39030.30303	-0.0234322336334	28848.48485	-0.00463068329422	35636.36364	-0.0981154216592	21090.9091	-0.113151416063
39272.72727	-0.0313664255824	29333.33333	-0.00266290030242	37090.90909	-0.0935229485971	21818.18182	-0.11750474029
40484.84848	-0.0296506439311	29575.75758	-0.00551239407205	38545.45455	-0.0978043090667	22545.45454	-0.122833086455
41454.54545	-0.0394434484267	30060.60606	-0.00759922101017	39757.57576	-0.0869668528727	23030.30304	-0.134399622474
41696.9697	-0.0400615389791	30545.45455	-0.00988120103184	41939.39394	-0.084394496829	24242.42423	-0.127613079594
42424.24242	-0.0458863549474	30787.87879	-0.0129745841282	43878.78788	-0.0746803859682	24727.27273	-0.129313544464
43151.51515	-0.0519605001701	31030.30303	-0.0161161415267	45818.18182	-0.0666423556778	26181.81817	-0.11783326843
44363.63636	-0.0600920346969	31515.15152	-0.0150240449344	47757.57576	-0.0600752492145	27151.51514	-0.113100466456
44848.48485	-0.0696145466326	32000.0	-0.0178811204023	49939.39394	-0.0500537077668	28363.63637	-0.0986087120858
45333.33333	-0.0754392196421	32242.42424	-0.0175004582394	51636.36364	-0.0469456935474	29333.33334	-0.100275053041
46060.60606	-0.0748633855054	32484.84848	-0.0284446166092	54060.60606	-0.038506257535	30545.45453	-0.0888370155025
46545.45455	-0.0771409164769	32969.69697	-0.0316746389132	55757.57576	-0.0370933550834	31515.1515	-0.0890015591518
46787.87879	-0.0821194108874	33454.54545	-0.0313281561512	57454.54545	-0.0288424314235	32484.84847	-0.0825537901466
48242.42424	-0.0782830048541	33696.9697	-0.034982108456	59636.36364	-0.0274355861632	34424.24242	-0.0682852684717
49212.12121	-0.0914102129155	33939.39394	-0.038680822815	61333.33333	-0.0239638556497	35636.36364	-0.0622057151783
50181.81818	-0.0934977833361	34424.24242	-0.0386924017779	62787.87879	-0.0287050518261	37333.33344	-0.0575591952523
51151.51515	-0.099743395436	34666.66667	-0.0462827800295	64969.69697	-0.0251794119406	38060.60616	-0.0641147470245
52848.48485	-0.100088210501	34666.66667	-0.0538015762105	66666.66667	-0.0190808917723	40242.42432	-0.0517205826782
54787.87879	-0.0957214947334	34909.09091	-0.0614353533153	68606.06061	-0.0166690853651	41454.5454	-0.0495296351066
55515.15152	-0.0939255988855	35393.93939	-0.0617940970387	71030.30303	-0.0140783024122	43393.93956	-0.0412416979644
56484.84848	-0.105729928411	35636.36364	-0.0620371455342			45818.18172	-0.0326679046795
57696.9697	-0.112328805819	36121.21212	-0.062648784719			47272.72716	-0.0320737506457
59393.93939	-0.108587503971	36606.06061	-0.067184764086			48727.2726	-0.0319962988643
61333.33333	-0.107978656883	36848.48485	-0.0676339830041			50424.2424	-0.0281079718509
62787.87879	-0.103391957992	37333.33333	-0.0724118090847			52606.06056	-0.0238841368576
64484.84848	-0.105642223235	37575.75758	-0.0729802670794			53575.75764	-0.0222499533674
66181.81818	-0.104726471258	38787.87879	-0.0839187177153			55757.5758	-0.019041457126
67393.93939	-0.0990064446987	39757.57576	-0.0910840132155			56484.84852	-0.0181006999271
69333.33333	-0.0980525201162	40484.84848	-0.094013548222			58181.81832	-0.0161244540188
71030.30303	-0.0911244121417	41454.54545	-0.0908817890561			59636.36376	-0.0146485190898
		42666.66667	-0.0895867233566			61333.3332	-0.0131474721221
		43393.93939	-0.0861794770901			63030.303	-0.0118530598752
		44363.63636	-0.0883226137721			64969.6968	-0.010590454858
		44848.48485	-0.0914478907421			67151.51532	-0.0056581403364
		46060.60606	-0.0884689165978			68848.48476	-0.00862447863008
		46787.87879	-0.0900093047135			70545.45456	-0.00420741808647
		47757.57576	-0.0861534352786
		48727.27273	-0.0826865018275
		49696.9697	-0.0795897175869
		50666.66667	-0.0768450423799
		51878.78788	-0.0804620091025
		52848.48485	-0.0746880315254
		54060.60606	-0.0754073990147
		55030.30303	-0.0702841445706
		56000.0	-0.0691860870978
		57212.12121	-0.0672269857584
		58424.24242	-0.0618778767355
		59393.93939	-0.0578487511682
		60606.06061	-0.0531064258863
		61575.75758	-0.0495347573027
		63515.15152	-0.0504600572576
		65212.12121	-0.0452438117163
		66424.24242	-0.045566449292
		66666.66667	-0.0449063767795
		68121.21212	-0.0411269819941
		69090.90909	-0.038771587509
		70060.60606	-0.0402989877101
