X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	Kar2011_Fig3B_22uM.txt: 22 uM Q37	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37
101638.36254	0.0190019388962	0.0298122785146	0.0503270364538	0.055882522228	0.111183414793	0.281032295871	0.362160149316	0.405833207477	0.827573294881	0.966067623769
111032.027112	0.0230459054422	0.0363068592574	0.0616192844017	0.0684951877813	0.137075809178	0.343762632762	0.438175795077	0.487475680943	0.890708042091	0.983520504125
120425.691685	0.0275872862764	0.0436497313823	0.0744804410833	0.0828772612316	0.166637377876	0.411740812165	0.517209075967	0.570206656711	0.93386912764	0.992226027227
129819.356258	0.0326629950002	0.0519113766755	0.0890452990956	0.099178593106	0.200033145712	0.483157649213	0.596049397094	0.650215171714	0.961459512638	0.996402777285
139213.02083	0.0383131782344	0.0611672479173	0.105450692988	0.117548187667	0.23733488027	0.555696363854	0.671326842707	0.723925986535	0.978181375364	0.998356124508
148606.685403	0.0445811393636	0.0714970539897	0.123830962132	0.13812793693	0.278487623364	0.62676740856	0.740039025567	0.788604303897	0.987912711723	0.999254730808
158000.349975	0.0515132036939	0.0829837744404	0.144312238479	0.161044874575	0.323277925943	0.693835666399	0.800010170426	0.842735829353	0.993408443875	0.999663817693
167394.014548	0.0591585102026	0.0957123524836	0.167005504011	0.186401962333	0.371308891425	0.75476195989	0.850139501997	0.886075828824	0.996445608052	0.9998488294
176787.679121	0.067568713482	0.109768016311	0.191998460146	0.214267585725	0.421988041581	0.808066782957	0.890385053182	0.919407200775	0.998098451854	0.999932157124
186181.343693	0.0767975781258	0.125234183625	0.219346389847	0.244664155348	0.474533829076	0.853049365938	0.921534609444	0.944148419338	0.998988292124	0.9999695906
195575.008266	0.0869004468605	0.142189914927	0.249062372251	0.277556475121	0.528004842003	0.88974788655	0.9448776933	0.961963025442	0.999463776803	0.999986379923
204968.672838	0.097933563417	0.160706898879	0.281107420222	0.312840824816	0.581352258292	0.918778872437	0.961890532061	0.97446699509	0.999716538436	0.999993902597
214362.337411	0.109953231744	0.180845979381	0.315381332567	0.350335966718	0.63349141558	0.941121326358	0.974001924208	0.983061076296	0.999850425156	0.999997271136
223756.001983	0.123014795035	0.202653269942	0.351715250147	0.389777462675	0.683383635539	0.957907915291	0.982457696093	0.988868251808	0.99992117108	0.999998778933
