X	Kar2011_Fig1C_67uM.txt: 67 uM Q30	Kar2011_Fig1C_86uM.txt: 86 uM Q30	Kar2011_Fig1C_143uM.txt: 143 uM Q30	Kar2011_Fig1C_166uM.txt: 166 uM Q30	Kar2011_Fig1C_177uM.txt: 177 uM Q30
435645.342426	0.226758935114	0.342036125973	0.643943477681	0.730440908254	0.764832749086
452525.252644	0.240932388445	0.360584294479	0.664833018527	0.749394127542	0.782643381381
469405.162862	0.25519208954	0.37895175331	0.684625916404	0.767084690788	0.79915601699
486285.07308	0.269509565129	0.397103326955	0.703356175336	0.783581893149	0.814453776895
503164.983298	0.283857851537	0.415007915995	0.721061427731	0.798954493046	0.828617118929
520044.893516	0.298211523732	0.432638289069	0.737781783966	0.813269858246	0.841723231117
536924.803734	0.312546709561	0.449970858649	0.75355888905	0.826593345455	0.853845643254
553804.713952	0.326841090646	0.466985446607	0.768435157733	0.838987865674	0.865054005252
570684.624171	0.341073891358	0.483665044698	0.78245316168	0.850513595817	0.875413991174
587564.534389	0.355225857346	0.499995574306	0.795655145036	0.861227804271	0.884987296523
604444.444607	0.369279224995	0.515965649012	0.808082647453	0.871184764186	0.893831703371
621324.354825	0.383217683175	0.53156634288	0.819776216357	0.880435733429	0.902001193604
638204.265043	0.397026328548	0.546790966703	0.830775192747	0.889028984392	0.909546095074
655084.175261	0.410691615621	0.561634853938	0.841117557154	0.89700987034	0.916513249052
671964.085479	0.424201302638	0.576095157546	0.850839824447	0.904420917832	0.922946190212
688843.995697	0.437544394329	0.590170658568	0.859976977959	0.911301937031	0.928885332554
705723.905915	0.450711082399	0.603861586912	0.868562435027	0.917690143583	0.934368156458
722603.816133	0.463692684588	0.617169454548	0.876628037355	0.923620287189	0.939429393318
739483.726351	0.476481583006	0.630096901072	0.884204060782	0.929124783195	0.944101205294
756363.636569	0.489071162371	0.642647551426	0.891319239993	0.934233844412	0.94841335846
773243.546787	0.501455748684	0.654825885405	0.898000804541	0.938975611131	0.952393388237
790123.457006	0.51363054882	0.666637118487	0.90427452324	0.943376277842	0.956066756444
807003.367224	0.525591591388	0.678087093445	0.910164754515	0.947460215634	0.959456999626
823883.277442	0.537335669204	0.689182182142	0.915694500822	0.951250089559	0.962585868581
840763.18766	0.548860283629	0.699929196876	0.920885465595	0.954766970534	0.965473459157
857643.097878	0.560163590953	0.71033531065	0.925758111512	0.958030441543	0.968138334548
874523.008096	0.571244351	0.720407985719	0.930331719135	0.961058698044	0.970597639372
891402.918314	0.582101878049	0.730154909778	0.934624445177	0.963868642608	0.972867205908
908282.828532	0.592735994135	0.739583939191	0.938653379849	0.966475973896	0.974961652864
925162.73875	0.603146984783	0.748703048664	0.942434602847	0.968895270127	0.976894477096
942042.648968	0.613335557169	0.757520286808	0.945983237668	0.971140067259	0.978678138688
958922.559186	0.623302800698	0.766043737057	0.949313504045	0.973222932085	0.980324139814
975802.469404	0.633050149967	0.774281483452	0.952438768345	0.975155530515	0.981843097777
992682.379623	0.642579350054	0.782241580823	0.955371591827	0.976948691282	0.983244812609
1009562.28984	0.651892424078	0.789932028941	0.958123776736	0.978612465324	0.984538329619
1026442.20006	0.660991642948	0.797360750241	0.960706410201	0.980156181113	0.985731997238
1043322.11028	0.669879497221	0.804535570753	0.963129905963	0.981588496152	0.986833520488
1060202.02049	0.678558670985	0.811464203905	0.965404043967	0.9829174449	0.987850010402
1077081.93071	0.687032017661	0.818154236891	0.967538007863	0.984150483343	0.988788029681
1093961.84093	0.695302537655	0.824613119319	0.969540420497	0.985294530435	0.989653634882
1110841.75115	0.703373357728	0.830848153899	0.971419377442	0.98635600661	0.990452415367
1127721.66137	0.711247712026	0.836866488923	0.973182478659	0.987340869575	0.991189529287
1144601.57159	0.718928924649	0.842675112346	0.974836858363	0.988254647554	0.991869736802
1161481.4818	0.726420393679	0.848280847265	0.976389213181	0.989102470168	0.99249743075
1178361.39202	0.733725576568	0.853690348636	0.977845828671	0.989889097112	0.993076664963
1195241.30224	0.740847976809	0.858910101073	0.979212604302	0.990618944785	0.993611180413
1212121.21246	0.747791131794	0.863946417594	0.980495076955	0.991296111004	0.994104429332
1229001.12268	0.754558601784	0.868805439187	0.981698443037	0.991924397963	0.994559597493
1245881.03289	0.761153959917	0.873493135094	0.982827579275	0.992507333527	0.994979624759
1262760.94311	0.767580783169	0.878015303713	0.983887062271	0.993048191011	0.995367224063
1279640.85333	0.773842644209	0.882377574019	0.984881186877	0.993550007528	0.995724898914
1296520.76355	0.779943104074	0.886585407449	0.985813983463	0.994015601026	0.996054959563
1313400.67377	0.78588570561	0.890644100162	0.986689234141	0.994447586086	0.996359537914
1330280.58398	0.791673967606	0.89455878562	0.987510488009	0.994848388602	0.996640601292
1347160.4942	0.797311379588	0.898334437444	0.988281075462	0.995220259381	0.996899965145
1364040.40442	0.80280139719	0.901975872481	0.989004121635	0.995565286782	0.997139304767
1380920.31464	0.808147438091	0.905487754053	0.989682559029	0.995885408437	0.997360166116
1397800.22486	0.813352878437	0.908874595349	0.990319139359	0.996182422123	0.9975639758
1414680.13507	0.818421049732	0.912140762916	0.990916444681	0.996457995856	0.997752050289
1431560.04529	0.823355236145	0.915290480245	0.991476897838	0.996713677255	0.997925604415
1448439.95551	0.828158672203	0.918327831393	0.992002772268	0.996950902233	0.998085759224
1465319.86573	0.832834540828	0.921256764655	0.9924962012	0.997171003056	0.998233549212
1482199.77595	0.837385971706	0.92408109624	0.992959186298	0.997375215822	0.998369929005
1499079.68616	0.841816039928	0.926804513949	0.993393605769	0.997564687409	0.998495779531
1515959.59638	0.846127764907	0.929430580837	0.993801221967	0.997740481906	0.998611913705
1532839.5066	0.850324109532	0.931962738844	0.994183688541	0.997903586594	0.998719081682
1549719.41682	0.854407979528	0.934404312395	0.994542557131	0.998054917488	0.998817975699
1566599.32704	0.858382223027	0.936758511945	0.99487928366	0.998195324482	0.998909234551
1583479.23726	0.862249630298	0.939028437472	0.995195234237	0.99832559612	0.998993447715
1600359.14747	0.866012933643	0.94121708192	0.995491690693	0.998446464027	0.999071159155
1617239.05769	0.869674807437	0.943327334557	0.995769855783	0.998558607014	0.999142870841
1634118.96791	0.873237868289	0.945361984286	0.996030858056	0.998662654893	0.999209045987
1650998.87813	0.876704675315	0.947323722867	0.996275756438	0.998759192013	0.999270112044
1667878.78835	0.880077730519	0.949215148073	0.996505544526	0.998848760542	0.999326463462
1684758.69856	0.883359479253	0.951038766767	0.996721154614	0.998931863511	0.999378464236
1701638.60878	0.886552310764	0.952796997903	0.996923461477	0.99900896764	0.999426450262
1718518.519	0.889658558806	0.954492175443	0.99711328592	0.999080505959	0.999470731499
