data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.0uM_L0:10000  X	data: m0:5uM_M0:0.0uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.001uM_L0:10000  X	data: m0:5uM_M0:0.001uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.010uM_L0:10000  X	data: m0:5uM_M0:0.010uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y	data: m0:5uM_M0:0.100uM_L0:10000  X	data: m0:5uM_M0:0.100uM_L0:10000  Y
3.83	0.226645348	3.83	0.253266415	3.83	0.24332113	3.83	0.252233536	3.83	0.312020077	3.83	0.289889516	3.83	0.281332721	3.83	0.271118301	3.83	0.592242693	3.83	0.459232428	3.83	0.522757009
3.92	0.234347216	3.92	0.267439159	3.92	0.249089791	3.92	0.284533558	3.92	0.293278661	3.92	0.299904383	3.92	0.28671199	3.92	0.286099247	3.92	0.606929329	3.92	0.466700804	3.92	0.496507009
4	0.253134723	4	0.2560179	4	0.270089743	4	0.28495265	4	0.295146678	4	0.30899072	4	0.315614164	4	0.305153353	4	0.603924282	4	0.489980605	4	0.500718458
4.08	0.258942689	4.08	0.304895697	4.08	0.25986808	4.08	0.301566656	4.08	0.322278858	4.08	0.330877517	4.08	0.308198674	4.08	0.309675252	4.08	0.649042305	4.08	0.514034156	4.08	0.535473131
4.17	0.274068653	4.17	0.307854841	4.17	0.283296942	4.17	0.312942011	4.17	0.347941124	4.17	0.32673229	4.17	0.320385605	4.17	0.301597968	4.17	0.605786565	4.17	0.522108076	4.17	0.566057243
4.25	0.292073347	4.25	0.316862061	4.25	0.299818591	4.25	0.304230884	4.25	0.340530302	4.25	0.351073061	4.25	0.306922238	4.25	0.308260001	4.25	0.642566641	4.25	0.539366078	4.25	0.553831776
4.33	0.289623901	4.33	0.32558375	4.33	0.272189738	4.33	0.339344809	4.33	0.377155684	4.33	0.37428633	4.33	0.336401847	4.33	0.35420387	4.33	0.626694917	4.33	0.544984181	4.33	0.591898364
4.42	0.289775413	4.42	0.346609249	4.42	0.309559532	4.42	0.352157052	4.42	0.378931831	4.42	0.373059343	4.42	0.351992609	4.42	0.352305363	4.42	0.678881148	4.42	0.557666962	4.42	0.603510514
4.5	0.307653847	4.5	0.351619028	4.5	0.324967931	4.5	0.340182994	4.5	0.385883304	4.5	0.400649972	4.5	0.378524257	4.5	0.360762348	4.5	0.666268417	4.5	0.569306863	4.5	0.605064252
4.58	0.317653649	4.58	0.360262845	4.58	0.331369121	4.58	0.385923896	4.58	0.375287667	4.58	0.398295483	4.58	0.395117934	4.58	0.382750511	4.58	0.690012517	4.58	0.613074234	4.58	0.611606308
