m0:35uM_M0:0_L0:10000 X	m0:35uM_M0:0_L0:10000 Y	m0:28uM_M0:0_L0:10000 X	m0:28uM_M0:0_L0:10000 Y	m0:22.4uM_M0:0_L0:10000 X	m0:22.4uM_M0:0_L0:10000 Y	m0:17.5uM_M0:0_L0:10000 X	m0:17.5uM_M0:0_L0:10000 Y	m0:14uM_M0:0_L0:10000 X	m0:14uM_M0:0_L0:10000 Y	m0:11.2uM_M0:0_L0:10000 X	m0:11.2uM_M0:0_L0:10000 Y	m0:9.1uM_M0:0_L0:10000 X	m0:9.1uM_M0:0_L0:10000 Y	m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:5.6uM_M0:0_L0:10000 X	m0:5.6uM_M0:0_L0:10000 Y	m0:4.5uM_M0:0_L0:10000 X	m0:4.5uM_M0:0_L0:10000 Y	m0:3.5uM_M0:0_L0:10000 X	m0:3.5uM_M0:0_L0:10000 Y
0.7	0.001897201	0.7	0.001009669	0.7	-0.000972344	0.7	-0.001143542	0.7	-0.00289296	0.7	-0.003073406	0.7	-0.004052486	0.7	-0.005258099	2.0333	0.005081465	5.2	0.002217529	6.6667	0.002145265
0.7	0.001784597	0.7	0.001934246	0.7	-0.000456724	0.7	0.000343906	0.7	-0.000961343	0.7	-0.00382808	0.7	-0.002828854	0.7	-0.003515681	2.0333	0.01129345	5.2	0.001615592	6.6667	0.00421537
0.7	0.002277999	0.7	0.001635546	0.7	0.00056222	0.7	-0.000148459	0.7	-0.000727471	0.7	-0.001850898	0.7	-0.002161176	0.7	-0.003978682	2.0667	-0.001342453	5.2333	0	6.7333	-0.006435795
0.73333	0.002067866	0.73333	0.001009669	0.73333	-0.000658685	0.73333	-0.001633047	0.73333	-0.00289296	0.73333	-0.00382808	0.73333	-0.004243281	0.73333	-0.006711755	2.0667	0.007904501	5.2333	0.008119544	6.7333	-0.00400487
0.73333	0.00246353	0.73333	0.001635546	0.73333	5.07E-05	0.73333	0.000343906	0.73333	-0.001939923	0.73333	-0.002323795	0.73333	-0.003511912	0.73333	-0.009168266	2.0667	0.01129345	5.2333	0.005923836	6.7333	0.000972778
0.73333	0.002050199	0.73333	0.00222294	0.73333	0.000160634	0.73333	-5.45E-05	0.73333	-0.001562183	0.73333	-0.00100958	0.73333	-0.002745233	0.73333	-0.005258099	2.1	-0.001342453	5.2667	0	6.8	-0.00400487
0.76667	0.00246353	0.76667	0.00125593	0.76667	-0.000345025	0.76667	-0.000802447	0.76667	-0.00225008	0.76667	-0.00382808	0.76667	-0.004243281	0.76667	-0.007438405	2.1	0.005081465	5.2667	0.001257958	6.8	0.000972778
0.76667	0.002351136	0.76667	0.001934246	0.76667	0.000558218	0.76667	-0.000890753	0.76667	-0.001333697	0.76667	-0.00100958	0.76667	-0.003511912	0.76667	-0.003515681	2.1	0.004448935	5.2667	0.001615592	6.8	0.002145265
0.76667	0.002277999	0.76667	0.001635546	0.76667	0.00056222	0.76667	-5.45E-05	0.76667	-0.000961343	0.76667	-7.50E-05	0.76667	-0.002745233	0.76667	-0.002071372	2.1333	-0.001342453	5.3	0	6.8667	0.000972778
0.8	0.002634405	0.8	0.00125593	0.8	-3.14E-05	0.8	0.000343906	0.8	-0.000961343	0.8	-0.002846521	0.8	-0.006666993	0.8	-0.006711755	2.1333	0.005081465	5.3	0.003545153	6.8667	0.002156469
0.8	0.003029858	0.8	0.00222294	0.8	0.00056222	0.8	-0.000148459	0.8	-0.000727471	0.8	-0.002692215	0.8	-0.004862647	0.8	-0.009168266	2.1333	0.01129345	5.3	0.003769714	6.8667	0.002145265
0.8	0.002505799	0.8	0.002007261	0.8	0.001573161	0.8	-5.45E-05	0.8	-0.00096432	0.8	-0.001574183	0.8	-0.004243281	0.8	-0.006851463	2.1667	-0.000564607	5.3333	0.003545153	6.9333	0.000972778
0.83333	0.003029858	0.83333	0.001263831	0.83333	-3.14E-05	0.83333	-0.000229271	0.83333	-0.00289296	0.83333	-0.00382808	0.83333	-0.003511912	0.83333	-0.003515681	2.1667	0.001342453	5.3333	0.004435058	6.9333	0.002156469
0.83333	0.003200944	0.83333	0.001748451	0.83333	0.001365392	0.83333	-0.000598998	0.83333	-0.001562183	0.83333	-0.002692215	0.83333	-0.002828854	0.83333	-0.005708543	2.1667	0.007871193	5.3333	0.005923836	6.9333	0.005005619
0.83333	0.003189198	0.83333	0.002800326	0.83333	0.001573161	0.83333	-0.000148459	0.83333	-0.000727471	0.83333	-7.50E-05	0.83333	-0.000130725	0.83333	-0.003664736	2.2	-0.001342453	5.3667	-0.002217529	7	-0.002269815
0.86667	0.003200944	0.86667	0.00222294	0.86667	0.000282293	0.86667	0.000917083	0.86667	-0.001333697	0.86667	-0.002846521	0.86667	-0.005657709	0.86667	-0.005258099	2.2	0.007904501	5.3667	0.003545153	7	0.002156469
0.86667	0.003596187	0.86667	0.001994712	0.86667	0.00106569	0.86667	-0.000148459	0.86667	-0.000961343	0.86667	-0.001574183	0.86667	-0.00535974	0.86667	-0.005708543	2.2	0.01129345	5.3667	0.001615592	7	0.002145265
0.86667	0.003416998	0.86667	0.002378976	0.86667	0.001365392	0.86667	-5.45E-05	0.86667	-0.0016072	0.86667	-0.00100958	0.86667	-0.003511912	0.86667	-0.001917644	2.2333	0.001342453	5.4	0.001257958	7.0667	0.002156469
0.9	0.003029858	0.9	0.001502191	0.9	-3.14E-05	0.9	0.000343906	0.9	-0.000360504	0.9	-0.001864962	0.9	-0.005657709	0.9	-0.006711755	2.2333	0.010727537	5.4	0.004435058	7.0667	0.005005619
0.9	0.003767482	0.9	0.002378976	0.9	0.000963806	0.9	-5.45E-05	0.9	-0.00096432	0.9	-0.001850898	0.9	-0.004052486	0.9	-0.003664736	2.2333	0.007871193	5.4	0.003769714	7.0667	0.007457962
0.9	0.003189198	0.9	0.003666407	0.9	0.001573161	0.9	0.001336129	0.9	0.000484981	0.9	0.00067465	0.9	-0.002161176	0.9	-0.003978682	2.2667	-0.000564607	5.4333	-0.002217529	7.1333	0.000972778
0.93333	0.00461729	0.93333	0.002240973	0.93333	0.000909612	0.93333	-0.000229271	0.93333	-0.001562183	0.93333	-0.002846521	0.93333	-0.004243281	0.93333	-0.008309792	2.2667	0.00402736	5.4333	0.003545153	7.1333	0.002156469
0.93333	0.005295173	0.93333	0.003122406	0.93333	0.001365392	0.93333	0.000593835	0.93333	-0.001333697	0.93333	-0.00100958	0.93333	-0.002745233	0.93333	-0.005258099	2.2667	0.014715708	5.4333	0.003769714	7.1333	0.005005619
0.93333	0.004783797	0.93333	0.003377713	0.93333	0.002080633	0.93333	0.001034633	0.93333	-0.0016072	0.93333	-7.50E-05	0.93333	-0.002161176	0.93333	-0.003978682	2.3	0.001342453	5.4667	0.002217529	7.2	0.005237138
0.96667	0.00461729	0.96667	0.002240973	0.96667	0.000909612	0.96667	0.000343906	0.96667	-0.0016072	0.96667	-0.001574183	0.96667	-0.004243281	0.96667	-0.006851463	2.3	0.005081465	5.4667	0.003545153	7.2	0.005005619
0.96667	0.005578337	0.96667	0.003865836	0.96667	0.001573161	0.96667	0.000490089	0.96667	-0.000121245	0.96667	-0.001850898	0.96667	-0.004052486	0.96667	-0.003515681	2.3	0.007871193	5.4667	0.003769714	7.2	0.010700554
0.96667	0.006378396	0.96667	0.004243794	0.96667	0.001766978	0.96667	0.000593835	0.96667	0.000841176	0.96667	-0.000883403	0.96667	-0.003511912	0.96667	-0.003978682	2.3333	-0.00402736	5.5	0.002217529	7.2667	0.00421537
1	0.007843652	1	0.002733494	1	0.000963806	1	0.00149026	1	-0.0016072	1	-0.001864962	1	-0.005657709	1	-0.005258099	2.3333	0.007904501	5.5	0.005832349	7.2667	0.005005619
1	0.008583061	1	0.004980981	1	0.001223271	1	0.001034633	1	-0.000360504	1	-0.001850898	1	-0.002745233	1	-0.003978682	2.3333	0.007871193	5.5	0.005923836	7.2667	0.008317808
