m0:7uM_M0:0_L0:10000 X	m0:7uM_M0:0_L0:10000 Y	m0:6uM_M0:0_L0:10000 X	m0:6uM_M0:0_L0:10000 Y	m0:5uM_M0:0_L0:10000 X	m0:5uM_M0:0_L0:10000 Y	m0:4uM_M0:0_L0:10000 X	m0:4uM_M0:0_L0:10000 Y	m0:3uM_M0:0_L0:10000 X	m0:3uM_M0:0_L0:10000 Y	m0:2uM_M0:0_L0:10000 X	m0:2uM_M0:0_L0:10000 Y
3.25	0.343036028	3.25	0.376079106	3.25	0.311624997	3.25	0.271167289	3.25	0.215747268	3.25	0.083683293
3.25	0.346108371	3.25	0.384718101	3.25	0.326605462	3.25	0.262153951	3.25	0.212740043	3.25	0.104865187
3.25	0.338106548	3.25	0.387311517	3.25	0.329051898	3.25	0.288423499	3.25	0.208594689	3.25	0.113876208
3.25	0.383176055	3.25	0.40045903	3.25	0.330105427	3.25	0.298881462	3.25	0.221125434	3.25	0.132116059
3.5	0.394862434	3.5	0.415330521	3.5	0.362518539	3.5	0.274195396	3.5	0.173616804	3.5	0.081742393
3.5	0.375726172	3.5	0.419187753	3.5	0.359681915	3.5	0.302682521	3.5	0.204747313	3.5	0.086081887
3.5	0.382668838	3.5	0.426754216	3.5	0.355048537	3.5	0.29868185	3.5	0.220488914	3.5	0.082591799
3.5	0.398301461	3.5	0.421889206	3.5	0.369020655	3.5	0.310204518	3.5	0.236644429	3.5	0.09768354
3.5	0.390979836	3.5	0.43699172	3.5	0.353462902	3.5	0.297883992	3.5	0.239675529	3.5	0.12754648
3.5	0.402149047	3.5	0.441330439	3.5	0.374619326	3.5	0.328948112	3.5	0.248686911	3.5	0.125405401
3.5	0.431262882	3.5	0.454024784	3.5	0.373347371	3.5	0.344758071	3.5	0.239218359	3.5	0.151091645
3.75	0.449362889	3.75	0.462463369	3.75	0.406339155	3.75	0.339340712	3.75	0.190156759	3.75	0.096914311
3.75	0.432565074	3.75	0.472170873	3.75	0.40402232	3.75	0.310684388	3.75	0.239588789	3.75	0.10643909
3.75	0.440992671	3.75	0.469593986	3.75	0.414488513	3.75	0.342086274	3.75	0.245081018	3.75	0.103596594
3.75	0.446921114	3.75	0.48372482	3.75	0.397900882	3.75	0.339973508	3.75	0.261444584	3.75	0.111379434
3.75	0.453709362	3.75	0.48635676	3.75	0.40410453	3.75	0.339346366	3.75	0.280367779	3.75	0.140692724
3.75	0.442975257	3.75	0.490112205	3.75	0.428898515	3.75	0.370676261	3.75	0.274093284	3.75	0.144422614
3.75	0.484500389	3.75	0.505248996	3.75	0.423616246	3.75	0.393692523	3.75	0.272874503	3.75	0.164140391
4	0.49049023	4	0.508972164	4	0.455125629	4	0.351707921	4	0.214666188	4	0.103113072
4	0.47643314	4	0.526147103	4	0.463820278	4	0.388298193	4	0.263150774	4	0.119402443
4	0.487720334	4	0.517481725	4	0.459532536	4	0.392027413	4	0.274590505	4	0.113937705
4	0.488544444	4	0.528332271	4	0.457089982	4	0.381820849	4	0.292818295	4	0.134178255
4	0.493756325	4	0.533112496	4	0.460806461	4	0.378593243	4	0.308594466	4	0.160933269
4	0.486579298	4	0.536370331	4	0.478987197	4	0.414329812	4	0.307469269	4	0.162587704
4	0.517555496	4	0.545808025	4	0.473440028	4	0.444559727	4	0.304642409	4	0.182400079
4.25	0.531465066	4.25	0.544986378	4.25	0.490829635	4.25	0.421600426	4.25	0.239221308	4.25	0.125512865
4.25	0.522425347	4.25	0.572165548	4.25	0.504200254	4.25	0.425296892	4.25	0.292239624	4.25	0.123880979
4.25	0.534325303	4.25	0.558363369	4.25	0.499848691	4.25	0.389134665	4.25	0.313724478	4.25	0.131957234
4.25	0.533688719	4.25	0.569113333	4.25	0.494366435	4.25	0.421741202	4.25	0.302855522	4.25	0.147204571
4.25	0.538270424	4.25	0.57277369	4.25	0.50409332	4.25	0.415749733	4.25	0.343683879	4.25	0.177061342
4.25	0.532773655	4.25	0.580340424	4.25	0.518976034	4.25	0.459717378	4.25	0.341517529	4.25	0.180747385
