Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 Y	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 X	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 Y	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 X	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 Y	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 X	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 Y	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 X	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 Y	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 X	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 Y
44062.9947	-0.098131226904	60462.5051	-0.0411305521142	36646.59312	-0.0647697421527	55069.11465	0.00340458052924	47254.50836	0.001942461109	62631.97026	-7.95513925478e-06
45740.67727	-0.100201402475	63067.15626	-0.0350090837923	38322.31752	-0.0608133164176	58231.90534	0.00449590899198	51347.53162	0.00266029622774	70126.39405	-1.82757511324e-06
47605.05916	-0.105550343464	65113.66789	-0.0308454598493	39996.7362	-0.0512079370898	62698.32721	-0.00156015789097	55068.46185	0.00302511941911
48908.69033	-0.101981020653	68090.41208	-0.0256568991869	41485.10796	-0.043707159645	66047.16442	-0.00107272144108	58789.39208	0.00323532919416
50585.06732	-0.0999044396441	70509.01673	-0.0220908925003	43532.27244	-0.0383087829827	69582.04814	-0.000722382973891	63441.20767	-0.000143459631666
52820.23664	-0.0986414476649			45579.43692	-0.0342889451217			69580.74255	-5.77658252076e-05
55055.40596	-0.0989510804159			46510.3224	-0.0347850347349
57662.0155	-0.0949345063576			49487.06664	-0.0264900864526
58964.99388	-0.0917340299765			53580.08988	-0.0179338666382
60826.76459	-0.0899732637507			54696.36888	-0.0160570199374
63432.06854	-0.0821085150831			59719.62456	-0.00944563947667
65665.27948	-0.0769529363945			61580.0898	-0.00761003594369
67153.65157	-0.0715398832017			65859.1596	-0.00431360827677
70503.14157	-0.064351541626			69022.60308	-0.00605495935573
70689.18809	-0.0637949701223
