X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45
24277.0948996	0.466425404956	0.620828858487	0.764203929812	0.885383390971	0.952491572331	0.985217480953
24991.1271025	0.482128786335	0.636541232902	0.777447213611	0.894165325406	0.95726001153	0.987150390291
25705.1593055	0.497504271407	0.651669457976	0.789967299275	0.90227713554	0.961550034321	0.988830564115
26419.1915084	0.512543981912	0.666225639226	0.801799846622	0.909769283136	0.965409579904	0.990291046721
27133.2237113	0.52724200489	0.680223130538	0.812979485417	0.916688595646	0.968881802503	0.991560562704
27847.2559142	0.541594198014	0.693676252398	0.823539693454	0.923078486776	0.97200554315	0.992664081368
28561.2881172	0.55559800645	0.70660004903	0.833512713648	0.928979174354	0.974815756759	0.993623307496
29275.3203201	0.569252291657	0.719010080222	0.842929502414	0.934427892248	0.977343898176	0.994457108055
29989.352523	0.582557172262	0.730922243919	0.8518197029	0.939459094163	0.979618270739	0.995181883161
30703.384726	0.595513876935	0.742352625941	0.860211637805	0.944104647978	0.981664340714	0.995811888584
31417.4169289	0.608124608996	0.753317373486	0.868132317469	0.948394019814	0.98350502078	0.996359516099
32131.4491318	0.620392422375	0.763832589412	0.875607459708	0.952354447506	0.985160925454	0.996835537196
32845.4813347	0.632321108421	0.773914244589	0.882661518519	0.956011103428	0.986650601175	0.997249314931
33559.5135377	0.643915093025	0.783578105889	0.88931771937	0.95938724682	0.98799073348	0.99760898808
34273.5457406	0.655179343425	0.792839677675	0.895598099185	0.962504365957	0.989196333514	0.997921631223
34987.5779435	0.6661192841	0.801714154903	0.901523549551	0.965382310547	0.990280905919	0.998193393885
35701.6101465	0.676740721103	0.810216386145	0.907113861957	0.968039414832	0.991256599925	0.998429621499
36415.6423494	0.687049774205	0.818360845106	0.912387774128	0.970492611899	0.992134345325	0.998634960542
37129.6745523	0.697052816255	0.826161609331	0.917363016713	0.972757539713	0.99292397482	0.998813449931
37843.7067553	0.706756419134	0.833632345026	0.922056359771	0.974848639376	0.993634334115	0.998968600463
38557.7389582	0.71616730577	0.840786297008	0.926483658597	0.976779246137	0.994273380966	0.999103463873
39271.7711611	0.725292307656	0.847636282972	0.930659898575	0.978561673618	0.994848274303	0.999220692856
39985.803364	0.734138327373	0.854194691357	0.934599238806	0.980207291745	0.995365454407	0.99932259325
40699.835567	0.742712305658	0.860473482184	0.93831505433	0.981726598812	0.995830715043	0.999411169385
41413.8677699	0.751021192567	0.866484190364	0.941819976835	0.983129288106	0.996249268357	0.99948816351
42127.8999728	0.759071922331	0.872237930992	0.945125933764	0.984424309491	0.996625803262	0.999555090063
42841.9321758	0.766871391541	0.877745406276	0.948244185788	0.985619926311	0.996964537958	0.999613265454
43555.9643787	0.774426440314	0.883016913744	0.95118536262	0.986723767969	0.997269267187	0.999663833966
44269.9965816	0.781743836124	0.888062355471	0.953959497181	0.987742878498	0.997543404742	0.999707790257
44984.0287845	0.78883026003	0.892891248076	0.956576058144	0.988683761427	0.997790021708	0.999745998925
45698.0609875	0.795692295014	0.897512733301	0.959043980881	0.989552421216	0.998011880865	0.999779211517
46412.0931904	0.802336416225	0.901935588997	0.961371696861	0.990354401531	0.998211467643	0.999808081306
47126.1253933	0.808768982899	0.90616824038	0.963567161548	0.99109482058	0.998391017957	0.99983317615
47840.1575963	0.814996231761	0.910218771437	0.965637880852	0.991778403758	0.998552543261	0.999854989649
48554.1897992	0.82102427175	0.914094936391	0.967590936185	0.992409513773	0.998697853083	0.999873950867
49268.2220021	0.826859079897	0.917804171138	0.969433008194	0.992992178485	0.998828575288	0.999890432759
49982.2542051	0.832506498233	0.921353604589	0.971170399212	0.99353011659	0.998946174324	0.999904759517
50696.286408	0.837972231575	0.924750069875	0.972809054494	0.994026761353	0.999051967623	0.999917212942
51410.3186109	0.843261846118	0.928000115361	0.9743545823	0.994485282507	0.999147140359	0.999928037985
52124.3508138	0.848380768686	0.93111001543	0.975812272872	0.994908606482	0.999232758727	0.999937447572
52838.3830168	0.853334286596	0.934085781033	0.977187116371	0.995299435078	0.999309781889	0.999945626782
53552.4152197	0.858127548023	0.936933169957	0.978483819812	0.995660262702	0.999379072715	0.999952736498
54266.4474226	0.862765562817	0.939657696816	0.979706823068	0.995993392294	0.999441407452	0.999958916564
54980.4796256	0.867253203693	0.942264642745	0.980860313978	0.996300950013	0.99949748442	0.999964288539
55694.5118285	0.87159520775	0.944759064788	0.981948242605	0.996584898815	0.999547931835	0.999968958086
56408.5440314	0.87579617826	0.947145804991	0.982974334708	0.996847050976	0.999593314847	0.999973017055
57122.5762343	0.879860586693	0.949429499177	0.983942104443	0.997089079659	0.999634141869	0.999976545282
57836.6084373	0.883792774933	0.951614585421	0.984854866362	0.997312529591	0.999670870277	0.999979612167
58550.6406402	0.887596957643	0.953705312223	0.985715746731	0.997518826922	0.999703911529	0.999982278033
59264.6728431	0.891277224774	0.955705746377	0.986527694205	0.99770928833	0.999733635777	0.999984595316
59978.7050461	0.894837544159	0.95761978055	0.987293489915	0.99788512942	0.999760376016	0.999986609597
60692.737249	0.898281764193	0.959451140573	0.988015756965	0.998047472486	0.999784431809	0.999988360495
61406.7694519	0.901613616573	0.961203392449	0.988696969412	0.998197353671	0.999806072646	0.99998988245
62120.8016548	0.904836719072	0.962879949086	0.989339460721	0.99833572958	0.999825540966	0.999991205397
62834.8338578	0.907954578338	0.964484076769	0.989945431753	0.998463483389	0.999843054865	0.999992355359
63548.8660607	0.91097059271	0.966018901368	0.990516958294	0.998581430478	0.999858810549	0.999993354954
64262.8982636	0.913888055028	0.967487414299	0.991055998162	0.998690323636	0.999872984523	0.999994223845
64976.9304666	0.91671015543	0.968892478242	0.991564397904	0.998790857867	0.999885735575	0.999994979122
65690.9626695	0.919439984141	0.970236832627	0.99204389912	0.998883674825	0.999897206553	0.99999563564
66404.9948724	0.922080534219	0.971523098889	0.992496144427	0.998969366907	0.999907525962	0.999996206314
67119.0270754	0.924634704286	0.972753785515	0.992922683078	0.999048481037	0.999916809408	0.999996702367
67833.0592783	0.927105301206	0.973931292869	0.993324976275	0.999121522157	0.999925160891	0.999997133558
68547.0914812	0.929495042729	0.97505791783	0.993704402164	0.999188956448	0.99993267397	0.999997508367
69261.1236841	0.931806560088	0.976135858221	0.994062260562	0.999251214303	0.999939432814	0.999997834168
69975.1558871	0.934042400542	0.977167217063	0.994399777404	0.99930869308	0.999945513139	0.999998117367
70689.18809	0.936205029878	0.978154006645	0.994718108942	0.999361759634	0.999950983061	0.999998363536
