0.1% X	0.1% Y
6240	0.780099441
6240	0.819120152
6240	0.794035744
6360	0.726010607
6360	0.776202751
6360	0.78861525
6360	0.844697724
6480	0.779234091
6480	0.799662416
6480	0.839983609
6480	0.859751133
6600	0.773497428
6600	0.848900452
6600	0.888427923
6600	0.918471701
6720	0.745929576
6720	0.871075226
6720	0.874677009
6720	0.946250925
6840	0.771664883
6840	0.87560811
6840	0.912926679
6840	0.909801807
6960	0.845365065
6960	0.915052156
6960	0.880459122
6960	0.919802137
7080	0.86863042
7080	0.881333859
7080	0.957103468
7080	0.934483285
7200	0.901138177
7200	0.906762476
7200	0.944646246
7200	0.984635908
7320	0.852854598
7320	0.955291446
7320	0.963267672
7320	0.948008429
7440	0.887035547
7440	0.916641007
7440	0.941533744
7440	0.922027926
7560	0.913886316
7560	0.925650227
7560	0.953860009
7560	0.965124996
7680	0.900739797
7680	0.965152457
7680	0.965164349
7680	0.953051703
7800	0.940577734
7800	0.957577638
7800	0.957483671
7800	0.997598367
7920	0.955636474
7920	0.963482447
7920	0.9616864
7920	1.006891263
8040	0.918507517
8040	0.962951559
8040	0.97374108
8040	0.981935909
8160	0.922013255
8160	0.964118642
8160	0.966118368
8160	1.041742719
8280	0.947350183
8280	0.980421121
8280	1.005152642
8280	0.995461053
8400	0.95571615
8400	0.979784926
8400	0.977274701
8400	1.018508415
8520	0.954098581
8520	0.976989608
8520	0.995590224
8520	1.012424793
8640	0.938745189
8640	0.998711707
8640	1.01692785
8640	0.984686786
8760	0.968384614
8760	0.993701676
8760	1.006259037
8760	0.983999067
8880	0.967614225
8880	0.980575022
8880	1.00730033
8880	1.036189312
9000	0.932052415
9000	0.94980427
9000	0.99890941
9000	0.968028699
9120	0.957867398
9120	0.989884511
9120	0.989271581
9120	1.030678765
9240	0.996087405
9240	1.006100981
9240	1.020412959
9240	0.99821193
9360	0.966424846
9360	1.001051722
9360	1.020879262
9360	1.011660661
9480	1.006390005
9480	1.006584611
9480	1.008945997
9480	1.015481323
9600	0.966665886
9600	0.94991876
9600	1.002963942
9600	1.017638487
9720	0.953803929
9720	0.985158496
9720	0.993304055
9720	1.028013095
9840	0.979300208
9840	0.998950279
9840	0.974676651
9840	1.018350359
9960	0.983522568
9960	1.035949754
9960	1.011966314
10080	1.027982167
10080	1.002032592
10200	1.009444677
10320	1.001879766
