CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
2.5	0.0905197949207	2.5	0.0233218058098	2.5	0.0134142650063	2.5	-0.00270891470127	2.5	-0.013238632622	2.5	0.0165801988376
2.5	0.0919558610817	2.5	0.0193973565318	2.5	0.0131859069413	2.5	-0.00255685372527	2.5	-0.00752491119404	2.5	0.00906195278937
2.5	0.0574533748357	2.5	0.00967741587582	2.5	0.0167480232883	2.5	-0.0147595649683	2.5	-0.020931487158	2.5	-0.00444181492973
2.75	0.103409510443	2.75	0.0264813950028	2.75	0.022139272672	2.75	0.024137718122	2.75	0.0302431061978	2.75	0.0482269986982
2.75	0.08418975778	2.75	0.0191059626348	2.75	0.012696708066	2.75	0.005273754554	2.75	0.00915945001677	2.75	0.0441887602867
2.75	0.095331400114	2.75	0.0194220341258	2.75	0.024260873434	2.75	0.009803165915	2.75	0.00246534045577	2.75	0.0426485672863
2.75	0.091617144271	2.75	0.0169334092538	2.75	0.021141917917	2.75	0.0098397899	2.75	-0.0195805854982	2.75	0.0394213129929
2.75	0.088169441834	2.75	0.00939908962778	2.75	0.010608192815	2.75	-0.004470962875	2.75	-0.0113795512812	2.75	0.0190273725109
2.75	0.091444192958	2.75	0.00916261428278	2.75	0.00519527446999	2.75	-0.007627113229	2.75	-0.00890098430123	2.75	0.012704545661
2.75	0.052755063114	2.75	-0.00744446524422	2.75	0.010866325231	2.75	-0.025849217425	2.75	-0.0184865777052	2.75	-0.00708841543521
3.0	0.101586922756	3.0	0.019044548166	3.0	0.0123393359404	3.0	0.00417143944813	3.0	0.0393311633403	3.0	0.0494785728451
3.0	0.0852551824108	3.0	0.011914677168	3.0	0.0128794565654	3.0	0.0226203766571	3.0	0.0108050721533	3.0	0.047822147464
3.0	0.0962861237328	3.0	0.016913551194	3.0	0.0225229507234	3.0	0.00738315849913	3.0	0.00406233591131	3.0	0.0479810112011
3.0	0.0895416550058	3.0	0.010363249742	3.0	0.0189151359374	3.0	0.00190690471913	3.0	-0.0154660359857	3.0	0.0437347789049
3.0	0.0957416338988	3.0	0.00623798279101	3.0	0.00508461546937	3.0	-0.00635234828387	3.0	-0.0178207291027	3.0	0.0214756441849
3.0	0.0848694541578	3.0	0.00302975825301	3.0	-0.000635489939627	3.0	-0.0153550175729	3.0	-0.0132523505087	3.0	0.0159445204145
3.0	0.0575687387538	3.0	-0.010701429733	3.0	0.00253728181337	3.0	-0.0287750663539	3.0	-0.00941938806169	3.0	-0.00196251305985
3.25	0.0830606768762	3.25	0.00874823099702	3.25	0.00904665414431	3.25	-0.00501375525864	3.25	0.0435824839993	3.25	0.0619648800571
3.25	0.0988311066272	3.25	-0.00172607682598	3.25	0.00230479537131	3.25	0.0167028662454	3.25	0.0112825755103	3.25	0.0510069809033
3.25	0.0904889838352	3.25	0.00143113725102	3.25	0.0116539181733	3.25	0.00443285672236	3.25	0.00522626914333	3.25	0.0510981216959
3.25	0.0866890685332	3.25	0.00168668721302	3.25	0.00988259237231	3.25	-0.0102385295416	3.25	-0.0194707061577	3.25	0.0446895704307
3.25	0.0836167257382	3.25	-0.00695230836898	3.25	-0.00509787247069	3.25	-0.00122519214264	3.25	-0.0164634815207	3.25	0.023507676384
3.25	0.0916185492762	3.25	-0.00954572396898	3.25	-0.00754430786969	3.25	-0.0274947398126	3.25	-0.0123181272927	3.25	0.014496655532
3.25	0.0465490423012	3.25	-0.022693236975	3.25	-0.00859783685469	3.25	-0.0379527026966	3.25	-0.0248488725037	3.25	-0.003743195008
