X	5uM	4uM	3.5uM	3uM	2.5uM	2uM	1.75uM	1.5uM	1.35uM	1.2uM
4.06282828283	0.999999989762	0.999995663522	0.999932449826	0.999142555546	0.991301952936	0.9316780264	0.830973329518	0.636642216248	0.481951768896	0.329465388274
4.17890909091	0.999999994504	0.999997222863	0.99995311108	0.999358453757	0.993026587703	0.941615446611	0.850757033728	0.666782597667	0.512883540883	0.354869753883
4.29498989899	0.999999997049	0.999998221485	0.999967452774	0.999519990615	0.994409358816	0.950123873746	0.868365513298	0.695136256982	0.543216868154	0.380755317754
4.41107070707	0.999999998416	0.999998861016	0.999977407841	0.999640853728	0.995517989311	0.957403082586	0.88399705773	0.721651183095	0.572752132053	0.406967098663
4.52715151515	0.999999999149	0.99999927058	0.999984317998	0.999731284374	0.996406805487	0.963626922262	0.897844212584	0.746317635451	0.601320337481	0.433346837548
4.64323232323	0.999999999543	0.99999953287	0.999989114579	0.999798945207	0.997119378351	0.968945963268	0.910089606966	0.769160302921	0.628784684195	0.459737126221
4.75931313131	0.999999999755	0.999999700844	0.999992444051	0.999849569495	0.997690648155	0.973490148594	0.920903489125	0.790230701885	0.655040421159	0.485985319174
4.87539393939	0.999999999868	0.999999808416	0.999994755154	0.999887446921	0.998148631413	0.977371316846	0.930442506262	0.809600236225	0.680013314837	0.511947027156
4.99147474747	0.999999999929	0.999999877307	0.99999635937	0.999915787059	0.998515791473	0.980685527845	0.938849357182	0.827354151172	0.703657103569	0.537489039102
5.10755555556	0.999999999962	0.999999921426	0.999997472913	0.999936991334	0.998810138429	0.983515160807	0.946253032382	0.843586466874	0.725950302448	0.562491575923
5.22363636364	0.99999999998	0.99999994968	0.999998245861	0.99995285651	0.999046111525	0.98593077947	0.952769429292	0.858395876451	0.746892681415	0.586849837938
5.33971717172	0.999999999989	0.999999967775	0.999998782391	0.999964726937	0.999235286913	0.987992772623	0.958502189217	0.871882530972	0.766501678994	0.610474860657
5.4557979798	0.999999999994	0.999999979362	0.999999154816	0.999973608468	0.999386945226	0.98975278607	0.963543648018	0.884145601412	0.784808947866	0.63329373644
5.57187878788	0.999999999997	0.999999986783	0.999999413328	0.999980253686	0.999508526709	0.991254965509	0.967975826732	0.895281496322	0.801857165601	0.655249289746
5.68795959596	0.999999999998	0.999999991536	0.999999592771	0.99998522568	0.999605996131	0.992537030804	0.971871413381	0.905382616341	0.817697189577	0.676299310946
5.80404040404	0.999999999999	0.999999994579	0.999999717328	0.999988945759	0.999684135369	0.993631201632	0.975294705133	0.91453653679	0.832385591924	0.696415459124
5.92012121212	1.0	0.999999996529	0.999999803788	0.999991729146	0.999746777977	0.994564993191	0.978302492697	0.922825523537	0.845982578376	0.715581940418
6.0362020202	1.0	0.999999997777	0.999999863802	0.999993811694	0.999796997248	0.995361899005	0.980944877446	0.930326302278	0.858550273086	0.733794057814
6.15228282828	1.0	0.999999998576	0.99999990546	0.999995369869	0.999837256985	0.996041976071	0.983266017719	0.937110015808	0.870151338004	0.751056713727
6.26836363636	1.0	0.999999999088	0.999999934377	0.999996535706	0.999869532368	0.996622345799	0.985304804497	0.943242316872	0.880847888416	0.7673829304
6.38444444444	1.0	0.999999999416	0.999999954449	0.999997407993	0.999895406862	0.997117622538	0.987095469128	0.948783555377	0.890700663879	0.782792437
6.50052525253	1.0	0.999999999626	0.999999968381	0.999998060644	0.999916149897	0.997540279949	0.988668127125	0.953789028205	0.899768414617	0.797310357372
6.61660606061	1.0	0.999999999761	0.999999978052	0.999998548961	0.999932779149	0.997900964087	0.990049262858	0.958309267443	0.908107466179	0.810966019643
