X	Nielsen2001_Fig2A_344uM_60deg.txt: 344 uM	Nielsen2001_Fig2A_861uM_60deg.txt: 861 uM	Nielsen2001_Fig2A_1722uM_60deg.txt: 1722 uM	Nielsen2001_Fig2A_3444uM_60deg.txt: 3444 uM
22336.0544178	0.938307580005	0.999998269763	0.99999999998	1.0
22589.873218	0.94611271966	0.999998777235	0.999999999987	1.0
22843.6920182	0.953152113002	0.999999136102	0.999999999992	1.0
23097.5108184	0.959464989965	0.999999389791	0.999999999995	1.0
23351.3296186	0.965094154588	0.999999569074	0.999999999996	1.0
23605.1484188	0.970085029649	0.999999695738	0.999999999998	1.0
23858.967219	0.974484717042	0.999999785206	0.999999999999	1.0
24112.7860192	0.978341100868	0.999999848388	0.999999999999	1.0
24366.6048194	0.981702016522	0.999999892998	0.999999999999	1.0
24620.4236196	0.984614504613	0.99999992449	1.0	1.0
24874.2424198	0.98712416355	0.999999946719	1.0	1.0
25128.06122	0.989274609461	0.999999962407	1.0	1.0
