35uM X	35uM Y	28uM X	28uM Y	22.4uM X	22.4uM Y	17.5uM X	17.5uM Y	14uM X	14uM Y	11.2uM X	11.2uM Y	9.1uM X	9.1uM Y	7uM X	7uM Y	5.6uM X	5.6uM Y	4.5uM X	4.5uM Y	3.5uM X	3.5uM Y
0.3	0.00104028644801	0.3	0.000427134502723	0.3	0.00167304660034	0.3	0.00181135104562	0.3	0.00141052035956	0.3	0.00191307054052	0.3	0.00427452099768	0.3	0.00193583264806	1.6333	-0.000463786530216	4.8	0.0177582211827	5.8667	0.0131540095166
0.3	0.00101432830457	0.3	0.00130698538637	0.3	0.000843917087942	0.3	0.00175631259271	0.3	0.00104114344495	0.3	0.00189900609474	0.3	0.00277647213612	0.3	0.00399686977371	1.6667	0.00731045421393	4.8333	0.0201708556817	5.9333	0.0152617547008
0.33333	0.00109575593682	0.33333	0.00115282386119	0.33333	0.00122926102703	0.33333	0.00153170263654	0.33333	0.00234676371261	0.33333	0.00388832235005	0.33333	0.00286782388869	0.33333	0.00513632202182	1.6667	0.00116279394076	4.8333	0.0189128981473	5.9333	0.0108354714737
0.33333	0.00064266149833	0.33333	0.000525275709312	0.33333	0.00130104056021	0.33333	0.00253141940255	0.33333	0.0014303804215	0.33333	0.00163442579444	0.33333	0.00278420218413	0.33333	0.00368733943186	1.6667	-0.00727300599225	4.8333	0.0164011416158	5.9333	0.0108466750527
0.33333	0.000499842432933	0.33333	0.00140512659296	0.33333	0.000713641448448	0.33333	0.00129962012327	0.33333	0.00105802683011	0.33333	0.00106982290034	0.33333	0.00220014606514	0.33333	0.000541562106102	1.7	0.00197773574652	4.8667	0.0215407068627	6.0	0.0193139248889
0.36667	0.000735258604578	0.36667	0.000931448221572	0.36667	0.00160830803036	0.36667	0.00242682348459	0.36667	0.00145319255538	0.36667	0.0023978420046	0.36667	0.00287655325026	0.36667	0.00514127091424	1.7	-0.00444618249944	4.8667	0.0187846472428	6.0	0.014516606478
0.36667	0.00084849283751	0.36667	0.000531520658319	0.36667	0.000779029159908	0.36667	0.00099664189251	0.36667	0.000479999290551	0.36667	0.00276626213506	0.36667	0.00220887542671	0.36667	0.00528565170879	1.7	-0.000391395060748	4.8667	0.0151698277133	6.0	0.00856437990877
0.36667	0.000933473639575	0.36667	0.000779175715128	0.36667	0.00056325647322	0.36667	0.00256953541907	0.36667	0.00108381564078	0.36667	0.00193900949895	0.36667	0.000178424298611	0.36667	0.00400623405593	1.7333	0.00688505981849	4.9	0.0240815203821	6.0667	0.016929950919
0.4	0.00155152381255	0.4	0.00141033879002	0.4	0.0013712486369	0.4	0.00104066307675	0.4	0.00269167736202	0.4	0.00293616214732	0.4	0.00356939208837	0.4	0.00674480820995	1.7333	0.00201683417027	4.9	0.0206060338087	6.0667	0.0125148712709
0.4	0.00163900991105	0.4	0.000494097185976	0.4	0.00136310042078	0.4	0.00112896848373	0.4	0.00239560877232	0.4	0.00278185582241	0.4	0.00280271290083	0.4	0.00529115201252	1.7333	-0.00719681206161	4.9	0.0224025219239	6.0667	0.00942299815966
0.4	0.000815160033851	0.4	0.00129092655283	0.4	0.000238270472405	0.4	0.000837213651624	0.4	0.00110687188982	0.4	0.0009142134135	0.4	0.00147190744839	0.4	0.00401173435966	1.7667	0.00474307538036	4.9333	0.027195030088	6.1333	0.0164934393216
0.43333	0.0012881604886	0.43333	0.00145746998464	0.43333	0.00153249933332	0.43333	0.00109132146937	0.43333	0.00233813359052	0.43333	0.00318057501764	0.43333	0.00572608963075	0.43333	0.00515284754111	1.7667	-0.00436574985275	4.9333	0.0211443802673	6.1333	0.0145964607956
0.43333	0.00140139472153	0.43333	0.000838099958873	0.43333	0.00114706050827	0.43333	0.00266421499593	0.43333	0.00211503377543	0.43333	0.00393524929481	0.43333	0.00412086723573	0.43333	0.00370386495115	1.7667	-0.00373322012636	4.9333	0.0169276234412	6.1333	0.0134239733684
0.43333	0.0014863755236	0.43333	8.3253713446e-05	0.43333	0.00145257158403	0.43333	0.00143241571665	0.43333	0.00242519112613	0.43333	0.00195806692699	0.43333	-0.000471913119874	0.43333	0.0040178106828	1.8	0.0021016027203	4.9667	0.0259117689579	6.2	0.0201099915643
0.46667	0.00165500939969	0.46667	0.00152839352898	0.46667	0.00156501182254	0.46667	0.00172264246587	0.46667	0.0021485423625	0.46667	0.00493643675902	0.46667	0.00544021706076	0.46667	0.00921407534216	1.8	0.00132375642142	4.9667	0.0224362823844	6.2	0.0188043642964
0.46667	0.00176824363262	0.46667	0.00056971922708	0.46667	0.0020643349689	0.46667	0.00198006517209	0.46667	0.0011699628307	0.46667	0.00245059238161	0.46667	0.00432375867523	0.46667	0.00356149062238	1.8	-0.000267528086975	4.9667	0.0242327704997	6.2	0.0143780810693
0.46667	0.0011698248323	0.46667	0.000540097139222	0.46667	0.00163679135572	0.46667	0.000946016280197	0.46667	0.00181581961034	0.46667	0.00197769543018	0.46667	0.00359238900121	0.46667	0.00211718163989	1.8333	0.00214737520445	5.0	0.0246625141476	6.2667	0.0182729882765
0.5	0.00209849602339	0.5	0.00138151227189	0.5	0.0016862940919	0.5	0.000642836434821	0.5	0.00240947152051	0.5	0.00172287698182	0.5	0.00414632811387	0.5	0.00836290959331	1.8333	-0.00145350706797	5.0	0.0252010447284	6.2667	0.0165851222457
0.5	0.00184111132347	0.5	0.00151653891513	0.5	0.00175807362508	0.5	0.00204661266214	0.5	0.00218637170542	0.5	0.00199959116961	0.5	0.00292269619488	0.5	0.00749152180844	1.8333	-0.00364401331512	5.0	0.018830165579	6.2667	0.0154014312395
0.5	0.00136192223568	0.5	0.00114621824865	0.5	0.000663203150855	0.5	0.00155710744265	0.5	0.00249652905612	0.5	0.00103209665436	0.5	0.00225501837133	0.5	0.00371785301939	1.8667	0.0014179120372	5.0333	0.0256688892561	6.3333	0.0195651331673
0.53333	0.0021810684024	0.53333	0.00179417368834	0.53333	0.00182718965031	0.53333	0.00212266926954	0.53333	0.00305293874926	0.53333	0.00400114139785	0.53333	0.00497121423536	0.53333	0.00517480426622	1.8667	-0.00317405563823	5.0333	0.0221237362046	6.3333	0.0193560206722
0.53333	0.00178487984278	0.53333	0.00108176014077	0.53333	0.00232651279667	0.53333	0.000145716281674	0.53333	0.00189627650857	0.53333	0.00286527611192	0.53333	0.00435184860284	0.53333	0.00749949046531	1.8667	0.00324888524111	5.0333	0.0218991751902	6.3333	0.0144255624205
0.53333	0.00192138841505	0.53333	0.00179556799083	0.53333	0.00149738328427	0.53333	0.00108862037765	0.53333	0.00101654737991	0.53333	0.000997633703011	0.53333	0.00285379974128	0.53333	0.00213245829175	1.9	-0.00135428911995	5.0667	0.027747197672	6.4	0.023365821855
0.56667	0.00243222546744	0.56667	0.00212287995952	0.56667	0.00199076270618	0.56667	0.00195208486089	0.56667	0.00189922766382	0.56667	0.00402821171981	0.56667	0.00578246434051	0.56667	0.00692121408456	1.9	-0.00312322082184	5.0667	0.0267179596893	6.4	0.0220601945872
0.56667	0.00279653390717	0.56667	0.00141046641194	0.56667	0.00198261449007	0.56667	0.0029518016269	0.56667	0.00194424477002	0.56667	0.00289234643388	0.56667	0.00228593220295	0.56667	0.00198739592154	1.9	-0.0001225376548	5.0667	0.0251023679467	6.4	0.0114725722957
0.56667	0.00226187534664	0.56667	0.00138084432408	0.56667	0.000857784541694	0.56667	0.00172000234762	0.56667	0.00106451564136	0.56667	0.00102470402497	0.56667	0.0015627346984	0.56667	0.00404843304719	1.9333	-0.00412376009193	5.1	0.0344574693337	6.4667	0.0232781370695
0.6	0.00293020606052	0.6	0.0020190825711	0.6	0.00225218767543	0.6	0.00147789649734	0.6	0.00233084083331	0.6	0.00292234931777	0.6	0.00297135958659	0.6	0.0195751968067	1.9333	-0.00575456280743	5.1	0.0288341201992	6.4667	0.0188518538424
0.6	0.00304302027543	0.6	0.00151049708	0.6	0.00155308955851	0.6	0.00156620190432	0.6	0.00135226130151	0.6	0.00209509668166	0.6	0.00230368176304	0.6	0.00852397144247	1.9333	-0.00691348807785	5.1	0.0283434127973	6.4667	0.0188630574214
0.6	0.00312207910104	0.6	0.00176956844431	0.6	0.00166478856367	0.6	0.00127444707222	0.6	0.00199811808115	0.6	0.000305095769642	0.6	0.00158048425849	0.6	0.00578768854929	1.9667	-0.000328134950245	5.1333	0.0289342155875	6.5333	0.02630147773
0.63333	0.00387264094928	0.63333	0.0022324472245	0.63333	0.00247199702393	0.63333	0.00216385459398	0.63333	0.00334433617352	0.63333	0.00310987178338	0.63333	0.00552167800689	0.63333	0.00680106529352	1.9667	-0.00406714620905	5.1333	0.0294727461683	6.5333	0.0245664218928
0.63333	0.00341891648376	0.63333	0.00168142903554	0.63333	0.00239206927464	0.63333	0.0024212773002	0.63333	0.00178507277955	0.63333	0.00183753418879	0.63333	0.00299079246436	0.63333	0.0069407724806	1.9667	-0.00343461648266	5.1333	0.025389062536	6.5333	0.0172909887867
