X	Solomon2009_Fig3_pH7-4_8kDa_16uM	Solomon2009_Fig3_pH7-4_8kDa_32uM
79222.4120603015	0.6815174898513554	0.9802218881061157
80030.8040201005	0.6893670143493631	0.981436530507471
80839.1959798995	0.6970979235518308	0.9825767179301177
81647.5879396985	0.7047085017412651	0.9836469923751265
82455.97989949748	0.7121972145477731	0.9846516221937684
83264.37185929649	0.7195627066770207	0.9855946180372659
84072.76381909547	0.7268037992102188	0.9864797479619688
84881.15577889448	0.7339194865020442	0.9873105517208131
85689.54773869347	0.7409089327034608	0.9880903542732649
86497.93969849247	0.7477714679372356	0.9888222785467252
87306.33165829146	0.7545065841545331	0.9895092574826683
88114.72361809046	0.7611139307013621	0.9901540454007136
88923.11557788945	0.7675933096238036	0.9907592287134589
89731.50753768845	0.7739446707409264	0.9913272360242935
90539.89949748744	0.7801681065140708	0.9918603476396262
91348.29145728644	0.7862638467407872	0.9923607045260361
92156.68341708543	0.7922322531011661	0.9928303167418361
92965.07537688443	0.7980738135835868	0.993271071371443
93773.46733668342	0.8037891368160881	0.9936847399898161
94581.85929648242	0.8093789463286115	0.9940729856830615
95390.25125628141	0.8148440747703231	0.9944373696501326
96198.64321608041	0.820185458105082	0.9947793574093915
97007.0351758794	0.825404129806923	0.995100324632642
97815.4271356784	0.8305012150761573	0.9954015626281241
98623.81909547739	0.8354779250953898	0.9956842834928517
99432.21105527639	0.8403355513434205	0.9959496249536147
100240.60301507538	0.8450754599836389	0.9961986549149341
101048.99497487438	0.8496990863421661	0.9964323757312685
101857.38693467337	0.8542079294896436	0.996651728219818
102665.77889447237	0.8586035469392216	0.9968575954293623
103474.17085427136	0.8628875494719825	0.997050806179702
104282.56281407035	0.8670615960997474	0.9972321383854399
105090.95477386935	0.8711273891739554	0.9974023221770567
105899.34673366834	0.8750866696480951	0.9975620428314835
106707.73869346734	0.8789412125000096	0.9977119435236648
107516.13065326633	0.8826928223192747	0.9978526279099349
108324.52261306533	0.8863433290638033	0.9979846625533906
109132.91457286432	0.8898945839888202	0.9981085792008457
109941.30653266332	0.8933484557504189	0.9982248769203806
110749.69849246231	0.8967068266850289	0.9983340241079645
111558.09045226131	0.8999715892653044	0.9984364603711227
112366.4824120603	0.903144642732189	0.9985325982971414
113174.8743718593	0.9062278899022165	0.9986228251128532
113983.26633165829	0.9092232341484711	0.9987075042426222
114791.6582914573	0.9121325765530535	0.9987869767707483
115600.05025125628	0.9149578132283814	0.9988615628141341
116408.44221105528	0.9177008328041878	0.998931562810702
117216.83417085427	0.9203635140766702	0.9989972587287207
118025.22613065327	0.922947723815886	0.9990589152018806
118833.61809045226	0.9254553147271745	0.999116780594669
119642.01005025127	0.9278881235621266	0.9991710880023149
120450.40201005025	0.9302479693743974	0.9992220561893145
121258.79396984926	0.9325366519154775	0.999269890470305
122067.18592964824	0.9347559501653991	0.9993147835368213
122875.57788944725	0.9369076209932399	0.9993569162332562
123683.96984924623	0.9389933979422197	0.9993964582851415
124492.36180904524	0.9410149901341363	0.9994335689826773
125300.75376884422	0.9429740812878689	0.9994683978222554
126109.14572864323	0.9448723288466913	0.999501085108556
126917.53768844221	0.9467113632091593	0.9995317625196403
127725.92964824122	0.9484927870583956	0.9995605536373107
128534.3216080402	0.9502181747846584	0.9995875744448716
129342.71356783921	0.9518890719961685	0.9996129337942936
130151.1055276382	0.9535069951132656	0.9996367338446625
130959.49748743718	0.9550734310410806	0.999659070473674
131767.88944723617	0.9565898369160241	0.9996800336638342
132576.2814070352	0.9580576399215313	0.9996997078649175
133384.67336683418	0.9594782371686328	0.9997181723341417
134193.06532663316	0.9608529956370696	0.9997355014554307
135001.45728643215	0.9621832521728162	0.9997517650390485
135809.84924623117	0.9634703135380277	0.9997670286028126
136618.24120603016	0.9647154565095818	0.9997813536360176
137426.63316582915	0.9659199280225406	0.9997947978471325
138235.02512562813	0.9670849453550125	0.9998074153962699
139043.41708542715	0.968211696351054	0.9998192571133608
139851.80904522614	0.9693013396783962	0.9998303707029168
140660.20100502513	0.9703550051179489	0.9998408009362019
141468.5929648241	0.9713737938821697	0.9998505898315887
142276.98492462313	0.9723587789595443	0.9998597768238263
143085.37688442212	0.973311005482566	0.9998683989228999
143893.7688442211	0.9742314911167441	0.9998764908631228
144702.1608040201	0.9751212264683082	0.999884085243062
145510.5527638191	0.9759811755084098	0.9998912126568603
146318.9447236181	0.9768122760117544	0.9998979018174831
147127.3366834171	0.9776154400077192	0.999904179672388
147935.72864321608	0.978391554242136	0.9999100715120819
148744.1206030151	0.979141480648033	0.9999156010720034
149552.51256281408	0.9798660568237431	0.9999207906281409
150360.90452261307	0.9805660965168933	0.9999256610867706
151169.29648241206	0.9812423901128913	0.9999302320686784
151977.68844221107	0.9818957051266262	0.9999345219882011
152786.08040201006	0.982526786696192	0.9999385481274092
153594.47236180905	0.9831363580775334	0.9999423267057282
154402.86432160804	0.9837251211389975	0.9999458729452778
155211.25628140703	0.9842937568548564	0.9999492011321951
156019.64824120604	0.9848429257969424	0.9999523246741863
156828.04020100503	0.9853732686236085	0.9999552561545397
157636.43216080402	0.985885406565299	0.9999580073828179
158444.824120603	0.9863799419060749	0.999960589442433
159253.21608040202	0.9868574584605051	0.999963012735296
160061.608040201	0.9873185220453874	0.999965287023721
160870.0	0.9877636809458195	0.9999674214697537
