X	Kar2011_Fig3B_10-6uM.txt: 10.6 uM Q37	Kar2011_Fig3B_12-8uM.txt: 12.8 uM Q37	Kar2011_Fig3B_15-9uM.txt: 15.9 uM Q37	Kar2011_Fig3B_16-6uM.txt: 16.6 uM Q37	Kar2011_Fig3B_22uM.txt: 22 uM Q37	Kar2011_Fig3B_32-4uM.txt: 32.4 uM Q37	Kar2011_Fig3B_36-3uM.txt: 36.3 uM Q37	Kar2011_Fig3B_38-3uM.txt: 38.3 uM Q37	Kar2011_Fig3B_60-8uM.txt: 60.8 uM Q37	Kar2011_Fig3B_81-6uM.txt: 81.6 uM Q37
129819.356258	0.0958292000862	0.132694874143	0.189879902614	0.20337679181	0.310406331292	0.504676480689	0.567474071207	0.597162952413	0.825507691548	0.920729072742
139213.02083	0.108912389015	0.150130589686	0.213325437171	0.228109731881	0.343583998294	0.545159887115	0.608063401884	0.637404832958	0.853606550657	0.937343581781
148606.685403	0.122573785423	0.168167995533	0.237231657848	0.253242544752	0.376390612541	0.583186931831	0.645522156947	0.674222386124	0.877277354717	0.950489518643
158000.349975	0.136758964121	0.186716304132	0.261451509662	0.278616226914	0.40861145341	0.618695097623	0.679906844566	0.707737386428	0.897178705821	0.960884214951
167394.014548	0.15141357491	0.205687221365	0.285848160646	0.304084478421	0.440069448708	0.651687531896	0.711331953706	0.738122103516	0.913887405387	0.969100035057
176787.679121	0.166483748253	0.224995647719	0.310295794302	0.329514392343	0.470622555123	0.682216345399	0.739949976601	0.765578629609	0.927901605991	0.975591973771
186181.343693	0.181916466026	0.244560262865	0.334680069168	0.354786754074	0.500160592175	0.71036868413	0.765936036104	0.790323620024	0.939647455973	0.980720872255
195575.008266	0.197659894754	0.264303995281	0.358898285562	0.379796007275	0.528601790322	0.736255457426	0.789476411258	0.812577401822	0.949487114246	0.984772473497
204968.672838	0.213663679737	0.284154381392	0.382859302812	0.404449945055	0.555889259221	0.760002451991	0.810760229396	0.832556482945	0.95772694825	0.987972836411
214362.337411	0.229879199397	0.304043820964	0.406483250938	0.428669183547	0.581987530309	0.781743495815	0.829973649999	0.850468632869	0.964625294515	0.990500693858
223756.001983	0.246259780017	0.323909737153	0.429701079335	0.452386471352	0.606879281912	0.801615325764	0.847295958917	0.866509859516	0.970399494221	0.992497305905
233149.666556	0.262760871796	0.343694650751	0.452453982082	0.475545883042	0.630562316672	0.81975383452	0.862897094304	0.880862751796	0.975232105158	0.994074288799
242543.331129	0.279340187711	0.363346178827	0.474692735638	0.49810193877	0.65304683028	0.836291410349	0.876936222832	0.893695781902	0.979276293995	0.995319821951
251936.995701	0.295957807232	0.382816968198	0.496376980143	0.520018685549	0.674352987113	0.851355126464	0.889561069794	0.905163263678	0.982660464371	0.99630356215
261330.660274	0.312576247288	0.402064574015	0.517474470933	0.541268769374	0.694508801304	0.865065579456	0.900907777342	0.915405743986	0.985492198673	0.997080530836
