m0:10uM_M0:0_L0:10000 X	m0:10uM_M0:0_L0:10000 Y	m0:12.8uM_M0:0_L0:10000 X	m0:12.8uM_M0:0_L0:10000 Y	m0:16uM_M0:0_L0:10000 X	m0:16uM_M0:0_L0:10000 Y	m0:20uM_M0:0_L0:10000 X	m0:20uM_M0:0_L0:10000 Y	m0:10uM_M0:0.5uM_L0:10000 X	m0:10uM_M0:0.5uM_L0:10000 Y	m0:10uM_M0:2uM_L0:10000 X	m0:10uM_M0:2uM_L0:10000 Y
69333.33333	1	40484.84848	0.887218045			58181.81832	1.003745322				
71030.30303	1	41454.54545	0.894736842			59636.36376	1.003745322				
		42666.66667	0.906015038			61333.3332	1.003745322				
		43393.93939	0.909774437			63030.303	1.003745322				
		44363.63636	0.921052631			64969.6968	1.003745322				
		44848.48485	0.928571429			67151.51532	1				
		46060.60606	0.936090226			68848.48476	1.003745322				
		46787.87879	0.943609023			70545.45456	1				
		47757.57576	0.947368422								
		48727.27273	0.95112782								
		49696.9697	0.954887218								
		50666.66667	0.958646616								
		51878.78788	0.969924812								
		52848.48485	0.969924812								
		54060.60606	0.977443609								
		55030.30303	0.977443609								
		56000	0.981203008								
		57212.12121	0.984962407								
		58424.24242	0.984962407								
		59393.93939	0.984962407								
		60606.06061	0.984962407								
		61575.75758	0.984962407								
		63515.15152	0.992481203								
		65212.12121	0.992481203								
		66424.24242	0.996240601								
		66666.66667	0.996240601								
		68121.21212	0.996240601								
		69090.90909	0.996240601								
		70060.60606	1								
