CsgA-lowconc.txt: 7 uM X	CsgA-lowconc.txt: 7 uM Y	CsgA-lowconc.txt: 6 uM X	CsgA-lowconc.txt: 6 uM Y	CsgA-lowconc.txt: 5 uM X	CsgA-lowconc.txt: 5 uM Y	CsgA-lowconc.txt: 4 uM X	CsgA-lowconc.txt: 4 uM Y	CsgA-lowconc.txt: 3 uM X	CsgA-lowconc.txt: 3 uM Y	CsgA-lowconc.txt: 2 uM X	CsgA-lowconc.txt: 2 uM Y
2.25	0.0580637920201	2.25	0.0140629553453	2.25	0.021844904696	2.25	-0.00700765073109	2.25	-0.0210699771808	2.25	0.00210138651678
2.5	0.10709292709	2.5	0.0344533967728	2.5	0.029134815773	2.5	0.0202216648972	2.5	0.0273520770993	2.5	0.0472287643313
2.5	0.0897391191995	2.5	0.0328389811528	2.5	0.03423005742	2.5	0.0152896235382	2.5	0.0105455426603	2.5	0.0380225567182
2.5	0.0993858141985	2.5	0.0317543935168	2.5	0.023706557613	2.5	0.0197327225392	2.5	0.00657374225734	2.5	0.0397977057848
2.5	0.0964676756025	2.5	0.0261422558468	2.5	0.034249901746	2.5	0.0257348721002	2.5	-0.00458473403566	2.5	0.0384118611764
2.5	0.0954603990865	2.5	0.0286426061698	2.5	0.01886862373	2.5	0.00259826401922	2.5	-0.00839915510366	2.5	0.0205707784668
2.5	0.0968964652475	2.5	0.0247181568918	2.5	0.018640265665	2.5	0.00275032499522	2.5	-0.00268543367566	2.5	0.0130525324186
2.5	0.0623939790015	2.5	0.0149982162358	2.5	0.022202382012	2.5	-0.00945238624778	2.5	-0.0160920096397	2.5	-0.000451235300513
2.75	0.109131008865	2.75	0.0328433569355	2.75	0.0288111133225	2.75	0.0307298276966	2.75	0.0363029520147	2.75	0.0532229699544
2.75	0.0899112562015	2.75	0.0254679245675	2.75	0.0193685487165	2.75	0.0118658641286	2.75	0.0152192958337	2.75	0.0491847315429
2.75	0.101052898536	2.75	0.0257839960585	2.75	0.0309327140845	2.75	0.0163952754896	2.75	0.00852518627267	2.75	0.0476445385425
2.75	0.0973386426925	2.75	0.0232953711865	2.75	0.0278137585675	2.75	0.0164318994746	2.75	-0.0135207396813	2.75	0.0444172842491
2.75	0.0938909402555	2.75	0.0157610515605	2.75	0.0172800334655	2.75	0.00212114669959	2.75	-0.00531970546433	2.75	0.0240233437671
2.75	0.0971656913795	2.75	0.0155245762155	2.75	0.0118671151205	2.75	-0.00103500365441	2.75	-0.00284113848433	2.75	0.0177005169172
2.75	0.0584765615355	2.75	-0.0010825033115	2.75	0.0175381658815	2.75	-0.0192571078504	2.75	-0.0124267318883	2.75	-0.00209244417903
3.0	0.107745673889	3.0	0.0262093528042	3.0	0.0201001596654	3.0	0.0120210924382	3.0	0.0466604460463	3.0	0.0555644044422
3.0	0.0914139335435	3.0	0.0190794818062	3.0	0.0206402802904	3.0	0.0304700296472	3.0	0.0181343548593	3.0	0.0539079790611
3.0	0.102444874866	3.0	0.0240783558322	3.0	0.0302837744484	3.0	0.0152328114892	3.0	0.0113916186173	3.0	0.0540668427982
3.0	0.0957004061385	3.0	0.0175280543802	3.0	0.0266759596624	3.0	0.00975655770923	3.0	-0.00813675327975	3.0	0.049820610502
3.0	0.101900385032	3.0	0.0134027874292	3.0	0.0128454391944	3.0	0.00149730470623	3.0	-0.0104914463967	3.0	0.027561475782
3.0	0.0910282052905	3.0	0.0101945628912	3.0	0.00712533378539	3.0	-0.00750536458277	3.0	-0.00592306780275	3.0	0.0220303520116
3.0	0.0637274898865	3.0	-0.00353662509476	3.0	0.0102981055384	3.0	-0.0209254133638	3.0	-0.00209010535575	3.0	0.00412331853734
3.25	0.0892563819721	3.25	0.0164079620958	3.25	0.0176977072337	3.25	0.0040068073865	3.25	0.0521904518984	3.25	0.069206756641
3.25	0.105026811723	3.25	0.00593365427284	3.25	0.0109558484607	3.25	0.0257234288905	3.25	0.0198905434094	3.25	0.0582488574872
3.25	0.0966846889311	3.25	0.00909086834984	3.25	0.0203049712627	3.25	0.0134534193675	3.25	0.0138342370424	3.25	0.0583399982798
3.25	0.0928847736291	3.25	0.00934641831184	3.25	0.0185336454617	3.25	-0.0012179668965	3.25	-0.0108627382586	3.25	0.0519314470146
3.25	0.0898124308341	3.25	0.000707422729839	3.25	0.00355318061868	3.25	0.0077953705025	3.25	-0.00785551362157	3.25	0.0307495529679
3.25	0.0978142543721	3.25	-0.00188599287016	3.25	0.00110674521968	3.25	-0.0184741771675	3.25	-0.00371015939357	3.25	0.0217385321159
3.25	0.0527447473971	3.25	-0.0150335058762	3.25	5.32162346808e-05	3.25	-0.0289321400515	3.25	-0.0162409046046	3.25	0.00349868157585
3.5	0.0851728629071	3.5	0.0118473597919	3.5	0.00593912140182	3.5	0.0292888288966	3.5	0.0585123444652	3.5	0.0731500575162
3.5	0.104309124687	3.5	0.00799012743492	3.5	0.00877574523682	3.5	0.000801703812644	3.5	0.0273818358832	3.5	0.0688105641272
3.5	0.0973664593961	3.5	0.000423664267919	3.5	0.0134091233028	3.5	0.00480237491764	3.5	0.0116402344722	3.5	0.0723006516641
3.5	0.0817338364511	3.5	0.00528867480992	3.5	-0.000562994504183	3.5	-0.00672029274036	3.5	-0.00451528082979	3.5	0.0572089106776
3.5	0.0890554611231	3.5	-0.00981383962508	3.5	0.0149947584458	3.5	0.00560023289564	3.5	-0.00754638025779	3.5	0.0273459712347
3.5	0.0778862503791	3.5	-0.0141525585211	3.5	-0.00616166581118	3.5	-0.0254638872704	3.5	-0.0165577628328	3.5	0.0294870501437
3.5	0.0487724149501	3.5	-0.0268469039541	3.5	-0.00488971012518	3.5	-0.0412738459264	3.5	-0.00708921047479	3.5	0.00380080560375
3.75	0.0730340975462	3.75	0.00539948479029	3.75	1.65489381077e-05	3.75	-0.00213469448434	3.75	0.0698307049961	3.75	0.0780312047985
3.75	0.0898319126762	3.75	-0.00430801927071	3.75	0.00233338406611	3.75	0.0265216286727	3.75	0.0203986748761	3.75	0.0685064262732
3.75	0.0814043153842	3.75	-0.00173113268271	3.75	-0.00813280925389	3.75	-0.00488025681834	3.75	0.0149064462011	3.75	0.0713489219962
3.75	0.0754758728552	3.75	-0.0158619671417	3.75	0.00845482193311	3.75	-0.00276749045134	3.75	-0.00145711995789	3.75	0.0635660821582
3.75	0.0686876250192	3.75	-0.0184939070957	3.75	0.00225117332311	3.75	-0.00214034873434	3.75	-0.0203803151209	3.75	0.0342527920482
3.75	0.0794217298542	3.75	-0.0222493519667	3.75	-0.0225428116169	3.75	-0.0334702442803	3.75	-0.0141058199789	3.75	0.0305229020872
3.75	0.0378965981402	3.75	-0.0373861424457	3.75	-0.0172605429079	3.75	-0.0564865059343	3.75	-0.0128870393019	3.75	0.0108051245732
4.0	0.0722255695762	4.0	-0.00180946777207	4.0	-0.0115852399508	4.0	0.0191353720997	4.0	0.0735947061828	4.0	0.092552498793
4.0	0.0862826599642	4.0	-0.0189844073251	4.0	-0.0202798890518	4.0	-0.0174548998663	4.0	0.0251101196778	4.0	0.07626312747
4.0	0.0749954656262	4.0	-0.0103190293961	4.0	-0.0159921474058	4.0	-0.0211841200603	4.0	0.0136703894918	4.0	0.081727865017
4.0	0.0741713553192	4.0	-0.0211695753531	4.0	-0.0135495927738	4.0	-0.0109775557073	4.0	-0.00455740050716	4.0	0.061487315821
4.0	0.0689594746792	4.0	-0.0259497997651	4.0	-0.0172660717128	4.0	-0.00774994983331	4.0	-0.0203335723132	4.0	0.03473230108
4.0	0.0761365020592	4.0	-0.0292076351871	4.0	-0.0354468082088	4.0	-0.0434865185183	4.0	-0.0192083744862	4.0	0.033077866121
4.0	0.0451603032392	4.0	-0.0386453291501	4.0	-0.0298996393238	4.0	-0.0737164338803	4.0	-0.0163815147132	4.0	0.0132654911
4.25	0.0693267930367	4.25	-0.000154787857447	4.25	-0.0110797198323	4.25	-0.0174465902592	4.25	0.0775411610132	4.25	0.0914327187201
4.25	0.0783665128027	4.25	-0.0273339574724	4.25	-0.0244503396953	4.25	-0.0211430562292	4.25	0.0245228443742	4.25	0.0930646048411
