X	Nielsen2001_Fig6_344uMtotal_0-05pcseeds_43deg.txt: "344 uM total, 0.05% seeds"	Nielsen2001_Fig6_344uMtotal_0-1pcseeds_43deg.txt: "344 uM total, 0.1% seeds"	Nielsen2001_Fig6_344uMtotal_noseeds_43deg.txt: "344 uM total, no seeds"
46966.6666667	0.99999999992	0.99999999997	0.898557488555
47592.8888889	0.999999999946	0.999999999979	0.926621164144
48219.1111111	0.999999999963	0.999999999986	0.947650739544
48845.3333333	0.999999999975	0.999999999991	0.963069787112
49471.5555556	0.999999999983	0.999999999994	0.974178877965
50097.7777778	0.999999999988	0.999999999996	0.982072479749
50724.0	0.999999999992	0.999999999997	0.987620750211
51350.2222222	0.999999999995	0.999999999998	0.991487852364
51976.4444444	0.999999999996	0.999999999999	0.994165797425
52602.6666667	0.999999999998	0.999999999999	0.996011093854
53228.8888889	0.999999999998	0.999999999999	0.997277845779
53855.1111111	0.999999999999	1.0	0.998144952432
54481.3333333	0.999999999999	1.0	0.998737210441
55107.5555556	0.999999999999	1.0	0.999141076081
55733.7777778	1.0	1.0	0.999416134596
56360.0	1.0	1.0	0.999603292341
56986.2222222	1.0	1.0	0.999730550326
57612.4444444	1.0	1.0	0.999817033634
58238.6666667	1.0	1.0	0.999875783443
58864.8888889	1.0	1.0	0.999915681379
59491.1111111	1.0	1.0	0.999942770597
60117.3333333	1.0	1.0	0.999961160053
60743.5555556	1.0	1.0	0.999973642104
61369.7777778	1.0	1.0	0.999982113624
61996.0	1.0	1.0	0.999987862799
