Time (hrs)	seed 0nM	seed 0nM	seed 0nM	seed 1nM	seed 1nM	seed 1nM	seed 10nM	seed 10nM	seed 10nM	seed 100nM	seed 100nM	seed 100nM
7.75	69.012	72.315	68.738	71.983	70.036	46.032	71.261	69.645	65.943	68.957	69.796	66.004
7.83	68.195	73.084	68.569	71.028	69.334	46.453	71.048	68.907	66.673	68.943	69.838	66.258
7.92	68.479	72.816	68.908	71.915	70.351	46.438	71.674	69.488	67.259	68.147	69.612	66.779
8.00	69.426	72.746	69.173	72.045	71.151	46.683	70.62	70.273	66.821	69.335	71.243	65.52
8.08	70.43	72.934	69.349	71.398	70.96	46.395	70.347	70.068	67.136	69.327	69.504	66.727
8.17	71.098	74.528	71.476	72.563	70.718	47.199	71.834	69.924	68.501	68.806	69.722	65.881
8.25	71.162	74.368	70.678	72.774	71.665	46.964	72.205	70.226	67.378	68.509	70.906	66.4
8.33	71.748	74.16	70.509	73.332	71.141	47.267	72.074	70.95	68.605	69.339	71.397	66.647
8.42	70.209	74.095	70.974	72.394	71.233	47.677	70.985	70.312	68.175	68.819	70.232	66.474
8.50	72.629	74.209	72.15	73.181	71.81	47.486	72.792	70.293	69.571	70.994	70.364	67.384
8.58	72.039	75.818	70.96	73.22	71.646	48.915	72.164	69.982	69.334	70.017	70.997	66.16
8.67	72.176	75.327	71.994	73.731	72.239	49.446	72.461	71.38	69.33	69.483	71.405	67.175
8.75	73.247	77.269	73.361	73.794	71.566	48.64	71.789	70.03	68.923	69.357	71.168	66.82
8.83	73.536	76.804	72.522	73.385	73.305	48.065	71.887	71.249	70.32	69.309	71.386	67.385
8.92	72.476	76.295	73.097	74.581	73.005	50.406	73.436	71.87	68.649	69.397	71.076	67.339
9.00	73.794	75.626	73.232	74.943	73.459	49.223	72.473	71.444	69.159	70.3	71.139	67.652
9.08	73.392	76.616	71.501	74.736	72.923	50.431	73.362	71.952	69.228	70.408	70.765	66.922
9.17	74.01	75.973	72.699	75.077	73.004	49.601	73.075	71.946	70.104	70.144	71.977	67.415
9.25	74.66	76.657	73.684	73.82	72.696	50.752	73.459	72.555	69.248	69.196	71.533	68.009
9.33	75.406	76.955	74.146	74.762	74.185	51.685	73.257	71.311	69.196	70.97	71.964	67.859
9.42	73.687	77.638	74.243	74.577	73.972	50.706	72.817	72.559	70.755	70.658	70.606	67.413
9.50	73.286	77.595	74.991	76.208	74.071	51.813	73.722	72.704	69.075	70.275	71.636	67.545
9.58	73.62	76.649	74.354	75.601	74.82	52.156	73.613	72.253	69.796	71.552	71.308	67.248
9.67	75.752	76.894	74.599	75.431	75.393	51.396	73.455	72.774	69.98	71.198	72.352	68.203
9.75	74.07	78.026	76.169	76.554	74.555	52.602	74.822	72.365	70.669	71.927	72.596	68.05
9.83	74.854	76.913	74.141	75.883	73.244	51.802	74.166	71.772	69.752	69.16	71.894	66.676
9.92	75.029	77.438	74.46	75.65	74.762	53.083	73.898	71.308	70.756	70.725	72.712	67.828
10.00	76.074	78.403	76.239	76.742	75.073	52.14	74.759	74.118	71.046	70.073	71.986	67.72
10.08	75.266	77.289	75.989	75.641	73.161	53.86	73.914	72.651	70.311	70.002	71.914	67.701
10.17	75.911	76.705	77.002	76.014	74.947	53.363	74.954	73.973	71.093	69.967	71.889	67.482
10.25	77.074	78.233	76.627	74.896	75.098	53.121	75.628	72.237	70.211	70.433	72.008	67.435
10.33	76.473	78.462	77.256	76.008	76.593	54.879	75.135	73.318	71.932	70.347	73.011	67.9
10.42	76.216	78.542	76.838	76.646	74.86	54.394	74.225	73.555	71.496	69.268	73.14	67.77
10.50	78.218	78.821	76.522	75.876	74.519	53.952	74.092	73.707	71.69	70.107	72.579	67.378
10.58	77.228	79.823	77.095	74.878	74.836	54.572	73.672	74.425	71.602	70.358	72.375	67.64
10.67	78.167	78.04	77.6	76.068	74.147	55.304	75.095	72.621	72.235	71.456	72.436	67.599
10.75	76.761	78.406	78.099	75.615	75.538	55.649	74.921	73.305	71.663	69.78	72.812	67.597
10.83	77.576	79.914	78.625	76.015	75.782	56.617	75.618	74.357	73.659	71.461	72.754	68.468
10.92	78.726	78.651	77.482	76.254	75.635	55.14	74.585	73.723	73.459	70.334	72.631	66.568
11.00	77.046	79.345	76.757	76.362	74.607	56.216	74.582	74.957	73.449	70.007	73.271	68.698
11.08	77.448	79.163	77.095	76.822	75.386	56.284	75.977	74.49	71.636	69.913	72.72	67.862
11.17	77.613	78.415	77.453	76.13	74.296	56.466	74.225	74.677	72.322	71.314	72.516	67.714
11.25	77.018	78.291	77.371	76.673	74.377	56.255	73.906	74.464	72.056	70.311	73.6	67.514
11.33	78.236	77.218	76.775	75.972	75.154	56.78	74.884	73.321	72.104	71.937	72.532	68.036
11.42	78.386	77.078	76.99	75.318	73.997	58.12	74.902	72.783	72.388	69.744	73.066	67.201
11.50	79.168	76.799	77.562	76.594	74.556	57.662	74.637	74.403	73.185	70.561	73.824	66.81
11.58	79.024	76.508	77.941	74.975	74.566	57.384	74.632	74.264	72.309	71.762	72.636	68.33
11.67	79.318	79.047	77.885	76.098	74.593	58.728	74.537	73.967	71.452	70.659	72.606	67.976
11.75	79.619	77.798	77.11	76.899	75.914	59.957	75.312	74.464	72.536	70.842	73.364	67.787
11.83	79.28	78.86	76.678	75.424	74.339	59.722	74.825	74.293	73.378	71.332	73.115	67.943
11.92	78.463	78.414	78.187	76.529	75.403	61.046	76.108	75.775	73.766	71.228	72.778	68.509
12.00	79.269	78.592	78.741	76.276	76.343	60.669	76.438	74.785	73.266	70.64	73.748	68.512
12.08	77.745	77.816	77.963	74.737	73.871	58.905	75.237	75.316	72.647	71.155	72.72	67.428
12.17	79.076	77.465	79.239	76.137	74.056	62.281	75.254	74.997	72.347	70.276	72.972	67.439
12.25	79.246	78.714	77.608	76.776	74.357	60.89	74.938	74.162	72.11	70.06	72.788	67.225
