X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM
23451.4845423	0.362290410268	0.496734660978	0.625950441772	0.747403127121
24161.6161615	0.377399893862	0.513755439579	0.642812084134	0.762147111801
24871.7477808	0.392374940809	0.530373269094	0.659019220609	0.776078402002
25581.8794	0.407197447383	0.546578613968	0.674582728768	0.789233642352
26292.0110192	0.42185103738	0.562364529914	0.689515536165	0.801649268508
27002.1426384	0.436320992911	0.577726409555	0.703832226362	0.813361202717
27712.2742576	0.450594180349	0.592661740897	0.717548692261	0.824404615747
28422.4058768	0.464658972781	0.607169879752	0.73068183303	0.834813744544
29132.5374961	0.478505170138	0.621251836772	0.743249290794	0.844621756361
29842.6691153	0.492123918087	0.634910079423	0.755269223329	0.853860651353
30552.8007345	0.505507626593	0.648148348883	0.766760109101	0.862561196804
31262.9323537	0.518649888954	0.660971491637	0.777740581191	0.870752887155
31973.0639729	0.53154540198	0.67338530536	0.788229286851	0.878463924919
32683.1955922	0.544189887898	0.685396398511	0.798244769694	0.885721218311
33393.3272114	0.556580018427	0.697012062988	0.807805371771	0.892550392145
34103.4588306	0.568713341414	0.708240159122	0.816929153029	0.898975809096
34813.5904498	0.5805882103	0.719089012226	0.825633825901	0.905020598924
35523.722069	0.592203716661	0.729567319923	0.833936703016	0.910706693686
36233.8536883	0.603559625948	0.73968406946	0.84185465621	0.916054867311
36943.9853075	0.614656316535	0.749448464226	0.849404085266	0.921084778212
37654.1169267	0.625494722125	0.75886985873	0.856600894957	0.925815013859
38364.2485459	0.636076277512	0.767957701295	0.863460479158	0.930263136444
39074.3801651	0.646402867678	0.776721483801	0.869997710949	0.934445728948
39784.5117844	0.656476780164	0.785170697799	0.876226937743	0.938378441063
40494.6434036	0.666300660638	0.793314796421	0.882161980639	0.942076034529
41204.7750228	0.675877471561	0.801163161473	0.887816137267	0.94555242757
41914.906642	0.685210453835	0.80872507523	0.893202187508	0.948820738171
42625.0382612	0.694303091322	0.816009696417	0.898332401572	0.951893326002
43335.1698805	0.703159078088	0.823026039938	0.903218549953	0.95478183288
44045.3014997	0.711782288245	0.82978295995	0.90787191489	0.957497221661
44755.4331189	0.720176748256	0.836289135911	0.912303302983	0.960049813511
45465.5647381	0.728346611554	0.842553061252	0.916523058691	0.962449323552
46175.6963573	0.736296135351	0.848583034383	0.920541078467	0.964704894846
46885.8279765	0.744029659488	0.854387151742	0.924366825319	0.966825130764
47595.9595958	0.751551587203	0.85997330265	0.928009343636	0.968818125746
48306.091215	0.758866367686	0.865349165737	0.931477274137	0.970691494495
49016.2228342	0.765978480297	0.870522206745	0.934778868812	0.972452399665
49726.3544534	0.772892420326	0.875499677527	0.937922005766	0.974107578065
50436.4860726	0.779612686189	0.880288616071	0.940914203889	0.975663365465
51146.6176919	0.786143767944	0.884895847424	0.943762637281	0.977125720038
51856.7493111	0.792490137032	0.889327985371	0.946474149378	0.97850024451
52566.8809303	0.798656237142	0.893591434763	0.949055266749	0.979792207067
53277.0125495	0.804646476115	0.897692394391	0.95151221252	0.98100656109
53987.1441687	0.810465218792	0.901636860322	0.953850919413	0.98214796376
54697.275788	0.816116780746	0.905430629613	0.956077042374	0.983220793605
55407.4074072	0.821605422798	0.909079304328	0.958195970785	0.98422916703
56117.5390264	0.826935346269	0.912588295817	0.960212840255	0.985176953896
56827.6706456	0.832110688897	0.915962829177	0.962132543978	0.986067792189
57537.8022648	0.837135521354	0.919207947876	0.963959743671	0.986905101835
58247.9338841	0.842013844316	0.922328518468	0.965698880088	0.987692097704
58958.0655033	0.846749586033	0.925329235399	0.967354183121	0.98843180185
59668.1971225	0.851346600344	0.92821462584	0.968929681486	0.989127055029
60378.3287417	0.855808665106	0.930989054541	0.970429212015	0.989780527541
61088.4603609	0.86013948099	0.933656728681	0.971856428553	0.990394729424
61798.5919802	0.864342670604	0.936221702685	0.973214810484	0.990972020047
