5uM X	5uM Y	4uM X	4uM Y	3.5uM X	3.5uM Y	3uM X	3uM Y	2.5uM X	2.5uM Y	2uM X	2uM Y	1.75uM X	1.75uM Y	1.5uM X	1.5uM Y	1.35uM X	1.35uM Y	1.2uM X	1.2uM Y
1.6197	0.901462920829	1.6197	0.921752080358	1.6197	0.800964832221	1.6197	0.624371723617	1.6197	0.379412214616	1.6197	0.0966499604326	1.6197	0.0724948898739	1.6197	0.0355974661133	1.6197	0.00104765796063	1.715	-0.00403793060111
1.6197	0.9600519114	1.6197	0.891546673734	1.6197	0.854429258963	1.6197	0.637497084455	1.6197	0.400835360988	1.6197	0.092890425372	1.6197	0.0701474261116	1.6197	0.0398604642756	1.6197	0.0010634322996	1.715	-0.00419089346558
1.6197	0.904457396352	1.6197	0.914179598538	1.6197	0.846170824898	1.6197	0.681299812921	1.6197	0.40622243414	1.6197	0.0967382078332	1.6197	0.0731878651906	1.6197	0.0473177176018	1.6197	0.00785187961766	1.715	-0.00263293284508
1.715	0.889510364157	1.715	0.926951920617	1.715	0.850668310279	1.715	0.671101102694	1.715	0.451260086428	1.715	0.132441943872	1.715	0.0929551234228	1.715	0.0413257423183	1.715	-0.00294987373101	1.715	-0.000104927075682
1.715	0.967030080803	1.715	0.935525016877	1.715	0.819693952927	1.715	0.703865482072	1.715	0.450794159813	1.715	0.1224510246	1.715	0.0983326060495	1.715	0.0458309528443	1.715	0.0056573529874	1.8103	-0.00217897890627
1.715	0.933207860558	1.715	0.91104654777	1.715	0.897952517935	1.715	0.709152688815	1.715	0.476490695773	1.715	0.129306251649	1.715	0.0918621537679	1.715	0.0552200901232	1.715	0.00882361394533	1.8103	-0.0011189446244
1.715	0.89990325397	1.715	0.926923891743	1.715	0.885596638911	1.715	0.746008559494	1.715	0.489712719037	1.715	0.130010913059	1.715	0.0996002826611	1.715	0.0555250965484	1.715	0.0128826065084	1.8103	0.00290938058768
1.8103	0.897673787659	1.8103	0.947771396393	1.8103	0.890375778839	1.8103	0.759674307161	1.8103	0.523633790967	1.8103	0.152279655698	1.8103	0.110518672419	1.8103	0.0547322604111	1.8103	0.00532416234378	1.8103	0.00559111417565
1.8103	0.931119377681	1.8103	0.927155606165	1.8103	0.851753527491	1.8103	0.730866040869	1.8103	0.51860899419	1.8103	0.15035823438	1.8103	0.117133257459	1.8103	0.059705802952	1.8103	0.0195912038638	1.9056	-0.0116597273181
1.8103	0.978746195481	1.8103	0.956673353709	1.8103	0.906222885239	1.8103	0.763444076133	1.8103	0.541802527755	1.8103	0.165180691111	1.8103	0.129912036931	1.8103	0.0614294579435	1.8103	0.0195297904751	1.9056	0.0025875374512
