X	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 1uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 2uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 3uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 5uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 10uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 20uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 30uM	RESCALED Seeding 17.11.14 (n=1)_0.3uMseed.txt: 50uM
3.1883417085427133	0.26604415020466377	0.1686336508105346	0.12920888497787741	0.09329223479793936	0.06066667950348348	0.0387099489903141	0.02905568056731367	0.01960423533601452
3.333266331658291	0.26913393572322086	0.17206516228773605	0.1327245828564767	0.0967798701397311	0.06384342376920615	0.04126635354288044	0.031163334240500107	0.021150251750174265
3.4781909547738694	0.2723538094327781	0.1756555661878888	0.13641574246200472	0.10046202119245695	0.06722845526889965	0.04401617241101441	0.03344126018174609	0.022829133500436694
3.6231155778894473	0.27570382957755857	0.17940664289127817	0.1402857780378396	0.10434480891406828	0.07083194394199988	0.04697186929856234	0.03590167459251359	0.024651339747073786
3.768040201005025	0.2791840367301561	0.18332020863838716	0.14433820781633677	0.10843460605823985	0.07466462945500463	0.05014678493820979	0.03855773843361665	0.026628208419693045
3.912964824120603	0.28279445137331194	0.18739811045584198	0.14857664808628301	0.11273803382455838	0.07873783567798509	0.05355518409979976	0.04142361932121774	0.028772023019272508
4.057889447236181	0.2865350713796976	0.19164222071208414	0.153004806600053	0.11726195742513545	0.08306348432718136	0.057212304363747135	0.04451455712486774	0.031096084511332278
4.202814070351758	0.2904058693896129	0.1960544312833754	0.15762647526440743	0.12201348041648596	0.08765410746103175	0.06113440646447277	0.04784693330269296	0.033614788599166556
4.3477386934673365	0.29440679008669823	0.20063664731027664	0.16244552205577123	0.12699993763140138	0.0925228584672283	0.06533882594472407	0.05143834396957481	0.0363437086678996
4.492663316582914	0.29853774737196215	0.2053907805243561	0.16746588209775448	0.13222888653045406	0.09768352112166878	0.06984402578387072	0.05530767664334313	0.039299684687216785
