X	Kakkar2016_Fig1_10uM.txt: 10 uM	Kakkar2016_Fig1_12-8uM.txt: 12.8 uM	Kakkar2016_Fig1_16uM.txt: 16 uM	Kakkar2016_Fig1_20uM.txt: 20 uM	Kakkar2016_FigS1B_5pcseeds.txt: 5% seeds	Kakkar2016_FigS1B_20pcseeds.txt: 20% seeds
31781.8069022	0.438326385013	0.772672426985	0.944905881023	0.992196941556	0.754313979534	0.921329633269
32495.4159227	0.463348685931	0.793853661003	0.952371746348	0.993564789282	0.771971388631	0.92862896188
33209.0249432	0.488426067028	0.813444296643	0.958854113654	0.994693434786	0.788670114026	0.935300137149
33922.6339637	0.513433807245	0.831486456079	0.964474767186	0.995624509999	0.804414544506	0.941388412459
34636.2429842	0.538249714471	0.848038434808	0.969342576864	0.996392469464	0.819217383234	0.946937389784
35349.8520047	0.562756495625	0.863170583952	0.973554240874	0.997025804067	0.833098430388	0.951988752858
36063.4610253	0.586843892875	0.876961617959	0.977195191456	0.997548057753	0.84608338556	0.956582082208
36777.0700458	0.610410508337	0.889495418182	0.980340577418	0.9979786763	0.858202703477	0.960754739409
37490.6790663	0.633365261984	0.900858354204	0.983056262761	0.998333713991	0.869490527859	0.964541808755
38204.2880868	0.655628451845	0.911137109232	0.985399800616	0.998626420742	0.879983720084	0.967976085657
38917.8971073	0.677132409701	0.920416972145	0.98742135658	0.998867729106	0.889720992322	0.971088102234
39631.5061278	0.69782176732	0.928780544985	0.989164566325	0.999066657687	0.898742148923	0.973906181801
40345.1151483	0.717653366313	0.936306808467	0.990667320064	0.999230644984	0.907087435214	0.976456515138
41058.7241688	0.736595858038	0.943070487433	0.991962471706	0.999365825425	0.914796989371	0.978763252522
41772.3331893	0.7546290484	0.949141661135	0.993078474101	0.99947725746	0.921910390576	0.980848606512
42485.9422098	0.771743046053	0.954585568369	0.99403994392	0.999569111939	0.928466295127	0.982732961404
43199.5512303	0.787937272015	0.959462563722	0.994868161069	0.999644827633	0.9345021513	0.984434986051
43913.1602508	0.803219385012	0.963828187677	0.995581508143	0.99970723958	0.9400539835	0.985971747426
44626.7692713	0.817604170806	0.96773331963	0.996195855635	0.999758684984	0.945156236379	0.987358822903
45340.3782918	0.831112436308	0.971224388644	0.996724898554	0.99980109057	0.949841670056	0.988610409721
46053.9873123	0.843769941253	0.97434362186	0.997180449817	0.999836044633	0.95414129819	0.989739430492
46767.5963328	0.855606392241	0.977129314889	0.997572695434	0.999864856458	0.958084361447	0.990757633959
47481.2053533	0.866654516532	0.979616112164	0.997910416064	0.999888605314	0.961698329694	0.991675690484
48194.8143738	0.876949226427	0.981835288273	0.998201179111	0.99990818085	0.965008927065	0.992503281946
48908.4233943	0.886526879505	0.983815023729	0.99845150506	0.999924316405	0.96804017485	0.993249185918
49622.0324148	0.895424635555	0.985580670587	0.99866701138	0.999937616462	0.970814447878	0.993921354115
50335.6414354	0.903679907597	0.987155004829	0.998852536904	0.999948579291	0.973352540753	0.994526985194
51049.2504559	0.911329901891	0.988558463617	0.999012249274	0.999957615608	0.975673740912	0.995072592097
51762.8594764	0.918411240182	0.989809366411	0.999149737688	0.999965063955	0.977795905999	0.995564064123
52476.4684969	0.924959656436	0.9909241196	0.99926809293	0.999971203386	0.979735543537	0.99600672402
53190.0775174	0.931009759865	0.99191740477	0.999369976408	0.999976263918	0.981507891269	0.996405380342
53903.6865379	0.936594856004	0.992802351105	0.999457679664	0.999980435148	0.983126996896	0.996764375391
54617.2955584	0.941746817885	0.993590692583	0.999533175687	0.999983873353	0.984605796219	0.99708762901
55330.9045789	0.946495999811	0.994292910863	0.999598163124	0.999986707351	0.985956188944	0.997378678539
56044.5135994	0.950871186833	0.99491836475	0.999654104383	0.99998904332	0.987189111612	0.99764071521
56758.1226199	0.954899573727	0.995475407238	0.999702258446	0.999990968781	0.988314607265	0.997876617259
57471.7316404	0.95860676794	0.995971491086	0.999743709147	0.999992555873	0.989341891618	0.998088980007
58185.3406609	0.96201681168	0.996413263887	0.999779389517	0.99999386406	0.99027941559	0.998280143175
58898.9496814	0.965152218967	0.996806653535	0.999810102752	0.999994942353	0.991134924139	0.998452215652
59612.5587019	0.968034024091	0.997156944967	0.999836540275	0.999995831154	0.991915511432	0.998607097941
60326.1677224	0.970681838456	0.99746884899	0.999859297279	0.999996563763	0.992627672385	0.998746502484
61039.7767429	0.973113913292	0.997746563942	0.999878886118	0.999997167627	0.993277350709	0.998871972057
61753.3857634	0.975347206186	0.99799383089	0.99989574783	0.999997665371	0.993869983564	0.998984896404
62466.9947839	0.97739744971	0.998213983014	0.999910262066	0.999998075645	0.994410542983	0.999086527276
63180.6038044	0.979279220802	0.998409989743	0.999922755626	0.99999841382	0.99490357423	0.999177992018
63894.2128249	0.981006009819	0.998584496199	0.999933509822	0.999998692566	0.995353231247	0.999260305839
64607.8218455	0.982590288418	0.998739858415	0.999942766802	0.999998922327	0.995763309375	0.999334382891
65321.430866	0.984043575623	0.99887817478	0.999950735007	0.999999111711	0.996137275518	0.999401046266
66035.0398865	0.985376501603	0.99900131409	0.999957593859	0.999999267813	0.996478295902	0.999461037019
66748.648907	0.986598868824	0.999110940577	0.999963497803	0.999999396484	0.996789261621	0.999515022303
67462.2579275	0.987719710344	0.99920853623	0.999968579782	0.999999502542	0.997072812096	0.999563602707
68175.866948	0.988747345122	0.999295420699	0.999972954231	0.999999589962	0.997331356624	0.99960731887
68889.4759685	0.989689430257	0.999372769028	0.999976719653	0.99999966202	0.997567094139	0.999646657443
69603.084989	0.990553010173	0.999441627473	0.99997996084	0.999999721415	0.997782031338	0.999682056464
70316.6940095	0.991344562766	0.999502927591	0.999982750777	0.999999770372	0.997977999282	0.999713910201
71030.30303	0.992070042589	0.999557498789	0.999985152288	0.999999810725	0.998156668604	0.999742573511
