Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 X	Kakkar2016_FigS1C_6-4uM.txt: 6.4 uM Ex45 Y	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 X	Kakkar2016_FigS1C_8uM.txt: 8 uM Ex45 Y	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 X	Kakkar2016_FigS1C_10uM.txt: 10 uM Ex45 Y	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 X	Kakkar2016_FigS1C_12-8uM.txt: 12.8 uM Ex45 Y	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 X	Kakkar2016_FigS1C_16uM.txt: 16 uM Ex45 Y	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 X	Kakkar2016_FigS1C_20uM.txt: 20 uM Ex45 Y
35471.56263	0.0330575169021	40174.29621	-0.000409711014132	24167.11547	-0.0320344884629	27716.36067	0.0191655207056	23065.19788	0.0177917742402	24892.19331	0.0255812296727
36406.36475	0.0279855870981	41850.67319	-0.00134480904827	26218.19664	-0.0172998001296	30881.10975	0.0136368727146	23996.08323	0.0152151481249	28371.74721	0.0256304387049
37154.46756	0.0215216125964	43899.14321	-0.00263083917848	26404.89595	-0.0178737299616	33114.97348	0.00833261947984	26602.03998	0.00962224316514	31583.64312	0.0256388840269
37901.26479	0.0216263719476	45947.61322	-0.00609598518173	28640.06528	-0.00307707395668	35720.27744	0.00590736992558	29765.48348	0.00673871960458	35598.51301	0.0205125298362
38650.0204	0.00986353575973	48926.31579	-0.00915850229562	30316.44226	0.00170061813299	38324.9286	0.00647400594562	33487.7193	-8.01587599458e-05	39345.72491	0.00512816006176
39397.47042	0.0047105599229	51531.61975	-0.0080682163441	31434.02694	0.00262953740226	41673.76581	0.00681668616416	36836.55651	-2.4193713784e-05	44966.54275	0.00512820232984
40890.41208	0.00326959934341	54322.31742	-0.00454174089797	33482.49692	0.00313770383368	47440.55488	0.0105439591044	40743.53325	-5.98061693335e-06	50319.7026	-0.0051282052714
42383.35373	-0.000932815104399	56555.52836	-0.00607757885547	34971.52183	0.00548144822226	50603.99837	0.00704200463329	43534.23093	-2.20396953987e-06	55405.20446	-1.52403645259e-11
44062.9947	-0.00912925298943	60462.5051	-0.00366616891112	36646.59312	0.00693624389812	55069.11465	0.00705917612777	47254.50836	0.00352054438839	62631.97026	-4.18109991074e-13
45740.67727	-0.00909055173841	63067.15626	-0.00261731866634	38322.31752	0.00356758759994	58231.90534	0.00706361110844	51347.53162	0.00352099212284	70126.39405	-9.99200722163e-15
47605.05916	-0.0136333530577	65113.66789	-0.00200844334655	39996.7362	0.00630592736376	62698.32721	-1.11687087057e-06	55068.46185	0.00352109124001
48908.69033	-0.0103015014481	68090.41208	-0.00136643300415	41485.10796	0.00813831218771	66047.16442	-4.71601330321e-07	58789.39208	0.00352111742757
50585.06732	-0.00932380189481	70509.01673	-0.000999261114082	43532.27244	0.00644588704987	69582.04814	-1.89821554919e-07	63441.20767	-1.78080927782e-09
52820.23664	-0.0106247503451			45579.43692	0.00418818288043			69580.74255	-1.98074445734e-10
55055.40596	-0.01442077947			46510.3224	0.00109693855352
57662.0155	-0.0152412633722			49487.06664	0.0021042835857
58964.99388	-0.0146591303531			53580.08988	0.00284718623347
60826.76459	-0.0167752114147			54696.36888	0.00297163150698
63432.06854	-0.0144554911106			59719.62456	0.00330514831004
65665.27948	-0.0140404464804			61580.0898	0.00336991045684
67153.65157	-0.0117351333214			65859.1596	0.00345755234319
70503.14157	-0.0112862316084			69022.60308	-4.3121017483e-05
70689.18809	-0.0110914860093
